word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
abata'adj	cmevla			the alphabetic order used in Arabic and derivative alphabets	See also {sepo'i}, {abgad}, {e'elxam}.			2																																																						
abeced	cmevla			the alphabetic order used in Latin and basic derivative alphabets.	Specification of the exact culture which is using the alphabetic ordering or standard for the ordering should be specified, as there can be deviations for the non-basic characters. See also: ".{abata'adj}", ".{abgad}", ".{e'elxam}", ".{unikodypors}", ".{alfabetagam}", "{kirilits}".			1	Latin alphabetic order																																																					
abgad	cmevla			the alphabetic order used in Northwest Semitic languages and derivative alphabets	See also {sepo'i}, {e'elxam}, {abata'adj}.			2																																																						
abjadu	fu'ivla			$x_1$ is an abjad used to write $x_2$.	see also {lerfu}, {alfabeta}, {fu'arka}, {anbani}, {abgida}, {snile'u}	ALFABETA_FREIME		2																																																						
abniena	obsolete fu'ivla			$x_1$ is Guaraní in aspect $x_2$.	see also {niengatu}			2	Guaraní																																																					
abniiena	fu'ivla			$x_1$ is Guaraní in aspect $x_2$.				1																																																						
abu	bu-letteral		BY*	letteral for a.				100003	a																																																					
abu zei sance	zei-lujvo			$x_1$ is an open/low central unrounded vowel sound produced by $x_2$.	Synonyms: {dizlo} {je} {norcrane} {kalrysna}, {asnce}, {asna} (alternative definition).	linguistics		3	A sound	sound of the letter A in Lojban and many other languages	low central unrounded vowel	phone	open central unrounded vowel	phone	open/low central unrounded vowel sound																																		open central unrounded vowel	phone	speech-sound producer											
abvanas	cmevla			Havana				1	Havana	capital city of Cuba																																																				
abvele	fu'ivla			$x_1$ is a grandparent of $x_2$ by bond/tie/relation/standard $x_3$ (not necessarily genetic/biological nor necessarily directly ancestral); $x_1$ is an associated member of $x_2$'s parent(s)'s parent(s)'s generation.	No prefix "great-"s may immediately precede the English translation of this word when the root is "grandparent"/"grandchild" or the like (due to slippage of clarity in reference to the pertinent generation); furthermore, it must refer to that generation (so no additional "great-"s may immediately precede the English translation of this word when it means "great-uncle"/"great-aunt" or the reciprocal relationships, and it cannot refer to uncles, aunts, nieces, or nephews). Might apply to great-aunts and great-uncles; it does not in any way intersect with the reference set of "{famti}" in a simple family/tree. See also: {tcuti}, which specifically excludes the potential meaning of grandparent/grandchild and which specifically includes the meaning of aunt/uncle/nephew/niece and higher generational separations too (such as great-great-uncle vel sim., unlike this word which is restricted to the grandparents' generation); {riryrirni} (or the like), which excludes the potential meaning of great-uncle/great-aunt or the reciprocal relationships. See also: "{dzena}" (which is more general and not necessarily familial by any given standard).			1	grandchild		granddaughter		grand-daughter		grandfather	generic	grandmother	generic	grandparent	generalized	grandson		great-aunt		great-nephew		great-niece		great-uncle																																	
abvorci	fu'ivla			$x_1$ is a grandparent of $x_2$ which/who has another grandparent $x_3$ such that $x_1$ is related to $x_2$ by relationship $x_4$, and $x_1$ is related to $x_3$ by relationship $x_5$ which is NOT their mutual mating/intimate partnering, under cultural/personal paradigm $x_6$; $x_1$ and $x_3$ are mutual co-grandparents.	This would, for example, apply (for the $x_1$ and $x_3$ slots) to a maternal grandparent and a paternal grandparent of shared grandchild $x_2$ in a simple family tree, but not to/as compared to a pair formed by two maternal grandparents, xor two paternal grandparents, of the same descendant. $x_1$ and $x_3$ are mutually symmetric if $x_4$, $x_5$, and $x_6$ are appropriately reversed (if those are directed/not symmetric). See also: ".{abvroi}", ".{abvele}", "{rorci}".			1	co-grandparent	not mutually partnered																																																				
abvroi	fu'ivla			$x_1$ is a grandparent of $x_2$ which/who has another grandparent $x_3$ such that $x_1$ is related to $x_2$ by relationship $x_4$, and $x_1$ is related to $x_3$ by mating/intimate partnering relationship $x_5$, under cultural/personal paradigm(s) $x_6$; $x_1$ and $x_3$ are mutually partnered co-grandparents.	This would, for example, pertain (in the $x_1$ and $x_3$ slots) to two maternal grandparents of $x_2$, whether they are biologically so or just by marital law or some adoption, etc., but not to/as compared to a pair formed by a maternal grandparent and a paternal grandparent in a simple family tree. See also: ".{abvorci}", ".{abvele}", "{rorci}".			1	co-grandparent	indeed mutually partnered																																																				
acaman	cmevla			Asha'man (rank/organization)	The name/word is used in several different ways over the course of the series. This word can mean any of them, depending on context. See also:  {sa'ydin},  {sedais},  {altfor}, {makfa}	The Wheel of Time (Robert Jordan)		2	Asha'man	The Wheel of Time (Robert Jordan); magic user (exclusively male), or member of one specific organization thereof																																																				
aclotlu	fu'ivla			$x_1$ is an axolotl of species/breed $x_2$				3	axolotl																																																					
adgalagda	fu'ivla			$x_1$ (text, entity) is a palindrome in retaining $x_2$ (by default $x_1$) via rules $x_3$ (property of $x_1$)	{zo} {adgalagda} {adgalagda} {vo'a} {lo} {ka} {fatne} {ma} {kau} - '{adgalagda} is a palindrome in that it retains its form when being read backwards as a sequence'.			1	palindrome																																																					
adgexe	fu'ivla			$x_1$ reflects Adyghe/Adyghean/Circassian culture/nationality/language(s) in aspect $x_2$.	See also {bangaduje}, {kafkaso}/{kafkazo}, {nanrkafkazo}/{transkafkazo}, {rusko}, {tirkice}, {kartuli}, {margali}, {apsuua}, {irstoni}, {xai'otso}, {zarbaija}.			3	Circassian	reflecting Adyghean/Circassian culture/nationality/language(s)	Adyghe	reflecting Adyghean/Circassian culture/nationality/language																																					something Adyghean		aspect	aspect of being Adyghean										
admine	fu'ivla			$x_1$ administers/administrates/is an administrator of $x_2$				3	administrator																																																					
advarka	fu'ivla			$x_1$ is an aardvark (Orycteropus afer) of variety $x_2$	See {mabru}			3	aardvark																																																					
adverbi	fu'ivla			$x_1$ is an adverbial adjunct (adverb or adverbial clause) meaning $x_2$ in language $x_3$	In Lojban, this category encompasses NAKU, sumtcita and soi/xoi clauses. See also {adverbivla}.			2	adverbial adjunct																																																					
adverbivla	fu'ivla			$x_1$ is an adverb (word class) meaning $x_2$ in language $x_3$	See {adverbi}.			3	adverb	word class																																																				
adzau	fu'ivla			$x_1$ upvotes-or-downvotes $x_2$ in system $x_3$	= {ma'udzau} {jonai} {ni'udzau}. Refers to systems (chiefly on the Internet) that keep a running tally of approval-votes, and sometimes disapproval-votes as well.	Internet		2	upvote or downvote																																																					
a'e	cmavo		UI1	attitudinal: alertness - exhaustion.	See also {sanji}, {cikna}, {tatpi}.			100001	alertness																																																					
a'ebu	bu-letteral		BY*	letteral for ash (æ) 				1	æ	letter																																																				
a'e'i'o'u	experimental cmavo		UI7	esoteric/mystical utterance; untranslatable, meaning revealed by gnosis	cf. "A! E! I! O! U!" (esoteric utterance found in medieval Cathar poetry written in Old Occitan)			2	aeiou	esoteric utterance																																							aeiou	esoteric utterance												
a'enai	cmavo-compound		UI*1	attitudinal: alertness - exhaustion.				100001	exhaustion																																																					
a'enmo	fu'ivla			$x_1$ is alert toward $x_2$	{a'e} {zei} {cinmo}.			1																																																						
afta	fu'ivla			$x_1$ is not far from and can be pointed to (or described as being pointed to) by the speaker	See {ta}, {ifti}, {uftu}, {degja'o}			1																																																						
aftimitfa	fu'ivla			$x_1$ is palindromic by standard $x_2$	see also {mitfa'e}			4	palindromic																																																					
aftobuso	fu'ivla			$x_1$ is a bus/coach for carrying passengers $x_2$, propelled by $x_3$	See also {sorprekarce}, {sorpeka}, {trene}, {taksi}. For denoting passengers, engine, towns and cities etc. used in combination with {karce}, {carce}, {marce}, {tcadu}.			1	bus	vehicle	coach	bus																																																		
aftosemere	fu'ivla			$x_1$ feels ASMR, experiences autonomous sensory meridian response characterized by $x_2$	Euphoric experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine, precipitating relaxation. See also {tingule}, {ganse}			1																																																						
aftostopi	fu'ivla			$x_1$ hitch-hikes $x_2$ (vehicles)				1																																																						
afxano	fu'ivla			$x_1$ is Afghan / related to Afghanistan in aspect $x_2$.	See also {gugde'afu}, {rupnafunu}, {banpurusu}, {banpu'usu}.			2	Afghan		Afghanistan	culture/country																																																		
agbakate	fu'ivla			$x_1$ is an avocado (fruit or tree) of species/variety $x_2$.				4	avocado																																																					
agmasto	fu'ivla			$x_1$ is a mast of a ship $x_2$	See also {bloti}			3	mast	ship																																																				
agnikutco	fu'ivla			$x_1$ pertains to Tocharian (easternmost known Indo-European speaking) culture in aspect $x_2$				1	Tocharian 																																																					
agvaskaldjentes	cmevla			Aguascalientes	Central Mexican state. Full name 'Estado Libre y Soberano de Aguascalientes'.			1																																																						
a'i	cmavo		UI1	attitudinal: effort - no special effort - repose.	See also {gunka}, {slunandu}, {guksurla}, {troci}, {selprogunka}.			100001	effort																																																					
ai	cmavo		UI1	attitudinal: intent - indecision - rejection/refusal.	See also {termu'i}, {terzu'e}, {seljdi}, {selcu'a}.			100001	intent																																																					
ai'ai	experimental cmavo		UI3b	discursive: comparative reality emphasis; even.	«.ui'ei karbi fatci basna [se'u]».  Example: «mi pu na kakne lo .ai'ai nu morji fi lo ra cmene».			1	even	comparative reality emphasis																																																				
a'icu'i	cmavo-compound		UI*1	attitudinal: effort - no special effort - repose.				100001	no special effort																																																					
aicu'i	cmavo-compound		UI*1	attitudinal: intent - indecision - rejection/refusal.				100001	indecision																																																					
aidji	fu'ivla			$x_1$ intends to do/be $x_2$ (ka).	From {ai} and {djica}.			8	intend	to do/be																																																				
ai'ei	experimental cmavo		UI	forced intent	Used when determined to accomplish some goal, but only because one is required (by some external force/conditions) to do so.  A begrudged sort of "can-do, will-do" attitude.			1	forced intent	attitudinal																																																				
aigne	fu'ivla			$x_1$ is an eigenvalue (or zero) of linear transformation/square matrix $x_2$, associated with/'owning' all vectors in generalized eigenspace $x_3$ (implies neither nondegeneracy nor degeneracy; default includes the zero vector) with 'eigenspace-generalization' power/exponent $x_4$ (typically and probably by cultural default will be 1), with algebraic multiplicity (of eigenvalue) $x_5$	For any eigenvector v in generalized eigenspace $x_3$ of linear transformation $x_2$ for eigenvalue $x_1$, where I is the identity matrix/transformation that works/makes sense in the context, the following equation is satisfied: $((x_2 - x_1 I)^{x_4})v = 0$. When the argument of $x_4$ is 1, the generalized eigenspace $x_3$ is simply a strict/simple/basic eigenspace; this is the typical (and probable cultural default) meaning of this word. $x_4$ will typically be restricted to integer values k > 0. $x_2$ should always be specified (at least implicitly by context), for an eigenvalue does not mean much without the linear transformation being known. However, since one usually knows the said linear transformation, and since the basic underlying relationship of this word is "eigen-ness", the eigenvalue is given the primary terbri ($x_1$). When filling $x_3$ and/or $x_4$, $x_2$ and $x_1$ (in that order of importance) should already be (at least contextually implicitly) specified. $x_3$ is the set of all eigenvectors of linear transformation $x_2$, endowed with all of the typical operations of the vector space at hand. The default includes the zero vector (else the $x_3$ eigenspace is not actually a vector space); normally in the context of mathematics, the zero vector is not considered to be an eigenvector, but by this definition it is included. Thus, a Lojban mathematician would consider the zero vector to be an (automatic) eigenvector of the given (in fact, any) linear transformation (particularly ones represented by a square matrix in a given basis). This is the logically most basic definition, but is contrary to typical mathematical culture. This word implies neither nondegeneracy nor degeneracy of eigenspace $x_3$. In other words there may or may not be more than one linearly independent vector in the eigenspace $x_3$ for a given eigenvalue $x_1$ of linear transformation $x_2$. $x_3$ is the unique generalized eigenspace of $x_2$ for given values of $x_1$ and $x_4$. $x_1$ is not necessarily the unique eigenvalue of linear transformation $x_2$, nor is its multiplicity necessarily 1 for the same. Beware when converting the terbri structure of this word. In fact, the set of all eigenvalues for a given linear transformation $x_2$ will include scalar zero (0); therefore, any linear transformation with a nontrivial set of eigenvalues will have at least two eigenvalues that may fill in terbri $x_1$ of this word. The 'eigenvalue' of zero for a proper/nice linear transformation will produce an 'eigenspace' that is equivalent to the entire vector space at hand. If $x_3$ is specified by a set of vectors, the span of that set should fully yield the entire eigenspace of the linear transformation $x_2$ associated with eigenvalue $x_1$, however the set may be redundant (linearly dependent); the zero vector is automatically included in any vector space. A multidimensional eigenspace (that is to say a vector space of eigenvectors with dimension strictly greater than 1) for fixed eigenvalue and linear transformation (and generalization exponent) is degenerate by definition. The algebraic multiplicity $x_5$ of the eigenvalue does not entail degeneracy (of eigenspace) if greater than 1; it is the integer number of occurrences of a given eigenvalue $x_1$ in the multiset of eigenvalues (spectrum) of the given linear transformation/square matrix $x_2$. In other words, the characteristic polynomial can be factored into linear polynomial primes (with root $x_1$) which are exponentiated to the power $x_5$ (the multiplicity; notably, not $x_4$). For $x_4$ > $x_5$, the eigenspace is trivial. $x_2$ may not be diagonalizable. The scalar zero (0) is a naturally permissible argument of $x_1$ (unlike some cultural mathematical definitions in English). Eigenspaces retain the operations and properties endowing the vectorspaces to which they belong (as subspaces). Thus, an eigenspace is more than a set of objects: it is a set of vectors such that that set is endowed with vectorspace operators and properties. Thus {klesi} alone is insufficient. But the set underlying eigenspace $x_3$ is a type of {klesi}, with the property of being closed under linear transformation $x_2$ (up to scalar multiplication). The vector space and basis being used are not specified by this word. Use this word as a seltau in constructions such as "eigenket", "eigenstate", etc. (In such cases, {te} {aigne} is recommended for the typical English usages of such terms. Use {zei} in lujvo formed by these constructs. The term "eigenvector" may be rendered as {cmima} {be} {le} {te} {aigne}). See also {gei'ai}, {klesi}, {daigno}			3	eigen-	prefix; mathematical/physical	eigenspace-generalization exponent	mathematical	eigenspace (generalized)	mathematical; linear transformation, vector space; generalized according to equation aforementioned	eigenvalue	mathematical; of a square matrix/linear transformation	eigenvector	mathematical; linear transformation/square matrix	multiplicity (algebraic) of eigenvalue	mathematical; degree of linear terms in characteristic polynomial of the linear transformation/square matrix; useful for Jordan canonical form computations; algebraic mulitplicity	self-preserving vector under mapping/transformation	mathematical; (perfect preservation not implied: dilation/contraction by scalar, including by scalar zero (0), allowed)																																								
ai'i	experimental cmavo		UI1	attitudinal: determination - lack of determination - resignation	Expresses an intent/will to act or continue, the lack thereof, or an intent to give up, respectively. Based on {ai} and {a'i}, but unlike {ai}, this makes no implication of decision/indecision. See also {mukti}, {zukte}, {randa}.			2	commitment	intent to act	determination																																																			
a'inai	cmavo-compound		UI*1	attitudinal: effort - no special effort - repose.				100001	repose																																																					
ainai	cmavo-compound		UI*1	attitudinal: intent - indecision - rejection/refusal.				100001	refusal																																																					
aiste	fu'ivla			$x_1=l_1$ is a to-do-list for $x_2$; $x_1=l_1$ is a list of things that $x_2$ intends to do	From {ai} and {liste}. Compare {aidji}, {zukte}, {eiste}			3	to-do-list	intention	todo list	intention	to do list	intention																																																
aitco	fu'ivla			$x_1$ Armenian in aspect $x_2$	See also {kafkaso}, {kartuli}.			1	Armenian																																																					
aitxero	fu'ivla			$x_1$ is ethereal/the ether	From the Latin "aetherius" and the Greek "αἰθήρ". Is the element that was supposed to fill the void above the terrestrial sphere.			3	ether	element filling the void	ethereal	spiritual, celestial																																																		
ai'y	experimental cmavo		BY2	letteral for i when ending a diphthong (ai, ei, oi), sometimes written as ị				2	dipthong final i																																																					
aizdo	fu'ivla			$x_1$ is woad of species/variety $x_2$.				1	woad																																																					
akcne	fu'ivla			$x_1$ is the action (physics quantity) of system $x_2$ during the course of evolution/history/over path/within spacetime region $x_3$ under conditions $x_4$	$x_1$ should be filled by a dimensionful real number; that is, it should be filled by a word for "Joule-seconds" (or a unit with the same dimensionality) which then has its 'amount' terbri (usually the second one) accessed by "{be}" and filled with a real number. In literature, the symbol that represents action should be visually similar to the symbol that represents entropy, for deep physical reasons.	physics		1	action	physics quantity																																																				
akcoloti	fu'ivla			$x_1$ is an axolotl (Ambystoma mexicanum)				2	axolotl	Ambystoma mexicanum																																																				
.akme	fu'ivla			$x_1$ is a knockoff/off-brand version of product $x_2$.	From the fictional ACME corporation depicted in Looney Tunes. Could be considered an {.u'ivla}.			3	knockoff	a copy of an existing product/brand	off-brand																																																			
akmela	fu'ivla			$x_1$ is a toothache plant/spotflower/paracress of species/variety $x_2$.				2	toothache plant		spotflower		paracress																																																	
akrobat	cmevla			acrobat				1																																																						
aksarni	fu'ivla			$x_1$ is aurora borealis	See also {gusni}, {terdi}, {tsani}	GUSNI_FREIME		1																																																						
aksiptrina	fu'ivla			$x_1$ is a hawk of species/type $x_2$	Subfamily Acciptrinae			1	hawk	bird	goshawk		sparrowhawk																																																	
akti	fu'ivla			$x_1$ is running service/in operation/performs functions $x_2$; $x_1$ is "turned on", working, acting, active, in action	See also {ca'a} se {pilno}, {tolspofu}, {na'akti}, {aktigau}			3	active	operational	running	functional	turned on	in a state of operation																																																
aktigau	fu'ivla			$x_1$ turns on / activates $x_2$	See {akti}, {na'akti}, {na'aktigau}, {narca'acadgau}			1	activate		turn on	cause to start operating																																																		
aktinidja	fu'ivla			$x_1$ is a kiwi plant (woody vine of the Actinidia genus).				1	kiwi plant																																																					
aktygau	lujvo			$x_1$ turns on/activates $x_2$	A version of {aktigau} but as an actual compound (akt-y-gau) instead of as a pseudo-compound freeword. See also {itkygau} 'turn off' (< itka 'turned off' -y- ga[sn]u).			1	turn on	device, etc	activate	device, etc																																																		
akuuas	cmevla			akua (Hawaiian), god(ess), divinity, spirit, ghost, devil, supernatural being				1																																																						
alba'aka	fu'ivla			$x_1$ is basil of species/variety $x_2$.	syn. {spatrbasiliko}			1	basil																																																					
albatro	fu'ivla			$x_1$ is an albatross [member of the family Diomedeidae] of species/breed $x_2$	See {cipni}			1	albatross	bird																																																				
albuma	fu'ivla			$x_1$ is an album, group of $x_2$ intended for storage and distribution as a group				4	album																																																					
alcamacrike	fu'ivla			$x_1$ pertains to/reflects Levant/Mashriq/al-Shaam/Shumm (eastern Mediterranean, northeast African, western Asian, western Middle Eastern; Mediterranean littoral region, Fertile Crescent subregion) culture/nationality/geography/history/character in aspect $x_2$	x2 can also be used to define how the term is being used (since the definition has been historically variable and vague). See also: {lusto} , {gomsi}, {ckenderu}.			4	 Levant	culture/region																																																				
alcu	fu'ivla			$x_1$ expresses/says $x_2$ (sedu'u/text), then $x_3$ says $x_4$, then $x_5$ says $x_6$...	Useful for dialogues. See: "{cusku}", "{tcuskuue}", "{tcasnuue}".			2																																																						
aldeia	fu'ivla			$x_1$ is a village				1																																																						
alfabeta	fu'ivla			$x_1$ is an alphabet used to write $x_2$.	see also {selyle'u}, {fu'arka}, {anbani}, {abgida}, {abjadu}, {snile'u}			3	alphabet																																								alphabet		alphabetic language											
alfabetagam	cmevla			the alphabetic order used in Greek and derivative alphabets.	See also: ".{abata'adj}", ".{abgad}", ".{e'elxam}", ".{unikodypors}", ".{abeced}", "{kirilits}".			1	Greek alphabetic order																																																					
alga	fu'ivla			$x_1$ is an alga of species $x_2$				2																																																						
alge	fu'ivla			$x_1$ is algae of species/variety $x_2$	see also {mivrlge}, {cma'alge}, {clika}			2	algae	plantlike organism	alga	constituent of algae																																																		
algebra	fu'ivla			$x_1$ is an algebra of type/describing $x_2$	Lujvo synonym: {snicmaci}. Place structure parallel to that of {cmaci}.			3																																																						
algoritma	fu'ivla			$x_1$ (event) is an algorithm, procedure, recipe, rule or procedure often useful to achieve result $x_2$ (event)				4	algorithm																																																					
alkai	fu'ivla			$x_1$ is called after property $x_2$ by $x_3$	srana fa zo {cmene} .e zo {la} .e zo {olkai}			3	named	after property	called	after property																																																		
alkanse	fu'ivla			$x_1$ is a scope of influence of $x_2$	See {se} {kuspe}			1	scope	influence																																																				
alma	fu'ivla			$x_1$ is a fruit nourishing spiritual/physical state $x_2$ (property of nonce place)	Common example of $x_1$ is apple. Common examples of $x_2$ are wisdom, freedom, immortality, youth. Common cultural examples are: apple of wisdom, apple of Iðunn, golden apple from the tree of the Hesperides, apple of discord. See also {plise}, {farmako}, {mikce}, {omti}.	TUTCI_FREIME		1																																																						
almapamla	fu'ivla			$x_1$ is a plant symbolizing the idea of love, to $x_2$.	Western literature is full of works that use roses as romantic symbols, and many other cultures use other flowers for more or less the same purpose. Similarly, the $x_1$ of .almapamla symbolically represents the idea of love itself. For native English-speaking Lojbanists, a rose will likely be a common example of an $x_1$,  but it could be any plant. $x_2$ can be either the author or audience of any spoken or written text which uses $x_1$ to represent love. See also {spati}, {rozgu}, {prami}, {sinxa}. Unrelated to the similar-sounding {alma} and {palma}.			4	symbolic plant representing love																																								plant which symbolizes love		author or audience of a description of the plant as a love symbol											
almini	fu'ivla			$x_1$ is aluminium, aluminum (chemical element Al).				1	aluminium		aluminum																																																			
alminiu	obsolete fu'ivla			$x_1$ is a quantity of/contains/is made of aluminium.	Cf. {jinme}.			2	aluminium																																																					
almu	fu'ivla			$x_1$ (quoted text) is a fragment/incomplete statement/question/utterance/proposition/text with intended meaning $x_2$ in the context/under conditions $x_3$ (default: the currently relevant context)	This is useful when someone says one or very few words and the responder needs to ask them what their statement means while indicating that it was too brief to be clear. Example: Person A asks "Why?", but person B does not know of what they are asking for the cause and so replies with the question "'Why?' what?"; in Lojban, B would ask "(lu ri'a ma li'u) .almu ma".			1	text fragment meaning																																																					
alna	fu'ivla			$x_1$ is an alder (Alnus) of species $x_2$				4	alder																																																					
alpaka	fu'ivla			$x_1$ is an alpaca (Lama pacos) of breed $x_2$	Cf. {kumte}			2	alpaca																																																					
altaisakta	fu'ivla			$x_1$ is a quantity of marshmallow candy.	See {sparaltaia}, {sakta}. Can refer to modern marshmallows, which are not usually made of marshmallow root extract.			2	marshmallow	candy																																																				
altamru	fu'ivla			$x_1$ is a date (fruit or tree) of species/variety $x_2$.				2	date	fruit																																																				
altare	fu'ivla			$x_1$ is an altar for rituals/ceremonies $x_2$	Also {se} {friti} {jubme}			1																																																						
altfor	cmevla			al'Thor	Last name of the primary protagonist of the Wheel of Time series by Robert Jordan: Rand al'Thor (.rand. altfor.). See also:  {sa'ydin},  {sedais},  {acaman},  {makfa}			1	al'Thor	name, character: Wheel of Time (Robert Jordan)																																																				
altrici	fu'ivla			$x_1$ is altricial, requires nourishment, a baby, infant	organism soon after hatching or being born at such stage of development when it is incapable of moving around on its own. See also {prekoci}, {verba}, {makcu}			1	altricial																																																					
alxataini	fu'ivla			$x_1$ finds $x_2$, a zero of function $x_3$, by double false position in interval $x_4$				1	double false position	to find a root																																																				
alxauarizmi	fu'ivla			$x_1$ has $x_2$ named after themselves				1																																																						
alzaitu	fu'ivla			$x_1$ is an olive of species/variety $x_2$.				2	olive																																																					
ambergri	fu'ivla			$x_1$ is a quantity of ambergris of composition  $x_2$.				1	ambergris																																																					
ambigu	fu'ivla			$x_1$ is ambiguous, possibly being $x_2$ (ka) or $x_3$ (ka), this being hard to $x_4$ (2-place ka)	Near-synonyms: {ambigu'o}, {smuvrici}			4	ambiguous																																																					
