re	rel	2	two	digit/number: 2 (digit) [two].	cmavo
ci	cib	3		digit/number: 3 (digit) [three].	cmavo
vo	von	4		digit/number: 4 (digit) [four].	cmavo
mu	mum	5		digit/number: 5 (digit) [five].	cmavo
xa	xav	6		digit/number: 6 (digit) [six].	cmavo
ze	zel	7		digit/number: 7 (digit) [seven].	cmavo
bi	biv	8		digit/number: 8 (digit) [eight].	cmavo
so	soz	9		digit/number: 9 (digit) [nine].	cmavo
friko	fi'o	African		$x_{1}$ reflects African culture/nationality/geography in aspect $x_{2}$.	gismu
jerxo	jex	Algerian		$x_{1}$ reflects Algerian culture/nationality in aspect $x_{2}$.	gismu
merko	mer	American	U.S.	$x_{1}$ pertains to USA/American culture/nationality/dialect in aspect $x_{2}$.	gismu
dzipo	zip zi'o	Antarctican		$x_{1}$ reflects Antarctican culture/nationality/geography in aspect $x_{2}$.	gismu
xrabo	rab	Arabic		$x_{1}$ reflects Arabic-speaking culture/nationality in aspect $x_{2}$.	gismu
gento	get ge'o	Argentinian		$x_{1}$ reflects Argentinian culture/nationality in aspect $x_{2}$.	gismu
xazdo	xaz zdo	Asiatic		$x_{1}$ reflects Asiatic culture/nationality/geography in aspect $x_{2}$.	gismu
sralo		Australian		$x_{1}$ reflects Australian culture/nationality/geography/dialect in aspect $x_{2}$.	gismu
bengo	beg	Bengali		$x_{1}$ reflects Bengali/Bangladesh culture/nationality/language in aspect $x_{2}$.	gismu
brazo	raz	Brazilian		$x_{1}$ reflects Brazilian culture/nationality/language in aspect $x_{2}$.	gismu
brito	rit	British		$x_{1}$ reflects British/United Kingdom culture/nationality in aspect $x_{2}$.	gismu
budjo	buj bu'o	Buddhist		$x_{1}$ pertains to the Buddhist culture/religion/ethos in aspect $x_{2}$.	gismu
kadno		Canadian		$x_{1}$ reflects Canadian culture/nationality in aspect $x_{2}$.	gismu
jungo	jug	Chinese		$x_{1}$ reflects Chinese [Mandarin, Cantonese, Wu, etc.] culture/nationality/language in aspect $x_{2}$.	gismu
xriso	xis xi'o	Christian		$x_{1}$ pertains to the Christian religion/culture/nationality in aspect $x_{2}$.	gismu
misro		Egyptian		$x_{1}$ reflects Egyptian culture/nationality in aspect $x_{2}$.	gismu
glico	gic gli	English		$x_{1}$ is English/pertains to English-speaking culture in aspect $x_{2}$.	gismu
ropno	ron ro'o	European		$x_{1}$ reflects European culture/nationality/geography/Indo-European languages in aspect $x_{2}$.	gismu
fraso	fas	French		$x_{1}$ reflects French/Gallic culture/nationality/language in aspect $x_{2}$.	gismu
dotco	dot do'o	German		$x_{1}$ reflects German/Germanic culture/nationality/language in aspect $x_{2}$.	gismu
xelso	xes	Greek		$x_{1}$ reflects Greek/Hellenic culture/nationality/language in aspect $x_{2}$.	gismu
xebro	xeb bro	Hebrew		$x_{1}$ reflects Hebrew/Jewish/Israeli culture/nationality/language in aspect $x_{2}$.	gismu
xindo	xin	Hindi		$x_{1}$ reflects Hindi language/culture/religion in aspect $x_{2}$.	gismu
xispo	xip	Hispanic	Latino	$x_{1}$ reflects Hispano-American culture/nationalities in aspect $x_{2}$.	gismu
bindo	bid	Indonesian		$x_{1}$ reflects Indonesian culture/nationality/language in aspect $x_{2}$.	gismu
rakso		Iraqi		$x_{1}$ reflects Iraqi culture/nationality in aspect $x_{2}$.	gismu
muslo	mus	Islamic	Muslim	$x_{1}$ pertains to the Islamic/Moslem/Koranic [Quranic] culture/religion/nation in aspect $x_{2}$.	gismu
ponjo	pon po'o	Japanese		$x_{1}$ reflects Japanese culture/nationality/language in aspect $x_{2}$.	gismu
jordo	jor jo'o	Jordanian		$x_{1}$ reflects Jordanian culture/nationality in aspect $x_{2}$.	gismu
latmo	la'o	Latin		$x_{1}$ reflects Latin/Roman/Romance culture/empire/language in aspect $x_{2}$.	gismu
lubno	lu'o	Lebanese		$x_{1}$ reflects Lebanese culture/nationality in aspect $x_{2}$.	gismu
libjo	lib	Libyan		$x_{1}$ reflects Libyan culture/nationality in aspect $x_{2}$.	gismu
lojbo	lob jbo	Lojbanic		$x_{1}$ reflects [Loglandic]/Lojbanic language/culture/nationality/community in aspect $x_{2}$.	gismu
mekso	mek me'o	MEX		$x_{1}$ [quantifier/expression] is a mathematical expression interpreted under rules/convention $x_{2}$.	gismu
baxso		Malay-Indonesian		$x_{1}$ reflects Malay-Indonesian common language/culture in aspect $x_{2}$.	gismu
meljo	mej	Malaysian		$x_{1}$ reflects Malaysian/Malay culture/nationality/language in aspect $x_{2}$.	gismu
mexno	mex	Mexican		$x_{1}$ reflects Mexican culture/nationality in aspect $x_{2}$.	gismu
morko	mor	Moroccan		$x_{1}$ reflects Moroccan culture/nationality in aspect $x_{2}$.	gismu
bemro	bem be'o	North American		$x_{1}$ reflects North American culture/nationality/geography in aspect $x_{2}$.	gismu
kisto	kis	Pakistani		$x_{1}$ reflects Pakistani/Pashto culture/nationality/language in aspect $x_{2}$.	gismu
filso	fis	Palestinian		$x_{1}$ reflects Palestinian culture/nationality in aspect $x_{2}$.	gismu
polno	pol	Polynesian		$x_{1}$ reflects Polynesian/Oceanian (geographic region) culture/nationality/languages in aspect $x_{2}$.	gismu
porto	pot	Portuguese		$x_{1}$ reflects Portuguese culture/nationality/language in aspect $x_{2}$.	gismu
rusko	ruk ru'o	Russian		$x_{1}$ reflects Russian culture/nationality/language in aspect $x_{2}$.	gismu
srito		Sanskrit		$x_{1}$ reflects Sanskrit language/Sanskritic/Vedic culture/nationality in aspect $x_{2}$.	gismu
sadjo	djo	Saudi		$x_{1}$ reflects Saudi Arabian culture/nationality in aspect $x_{2}$.	gismu
skoto	kot ko'o	Scottish		$x_{1}$ reflects Gaelic/Scottish culture/nationality/language in aspect $x_{2}$.	gismu
semto	sme	Semitic		$x_{1}$ reflects Semitic [metaphor: Middle-Eastern] language/culture/nationality in aspect $x_{2}$.	gismu
slovo	lov lo'o	Slavic		$x_{1}$ reflects Slavic language/culture/ethos in aspect $x_{2}$.	gismu
ketco	ket tco	South American		$x_{1}$ reflects South American culture/nationality/geography in aspect $x_{2}$.	gismu
softo	sof	Soviet		$x_{1}$ reflects Russian empire/USSR/ex-USSR (Soviet]/CIS culture/nationality in aspect $x_{2}$.	gismu
spano	san	Spanish		$x_{1}$ reflects Spanish-speaking culture/nationality/language in aspect $x_{2}$.	gismu
sirxo	six	Syrian		$x_{1}$ reflects Syrian culture/nationality in aspect $x_{2}$.	gismu
dadjo	daj	Taoist		$x_{1}$ pertains to the Taoist culture/ethos/religion in aspect $x_{2}$.	gismu
vukro	vur vu'o	Ukrainian		$x_{1}$ reflects Ukrainian language/culture/nationality in aspect $x_{2}$.	gismu
xurdo	xur xu'o	Urdu		$x_{1}$ reflects Urdu language/culture/nationality in aspect $x_{2}$.	gismu
betfu	bef be'u	abdomen		$x_{1}$ is a/the abdomen/belly/lower trunk [body-part] of $x_{2}$; [metaphor: midsection].	gismu
kakne	ka'e	able		$x_{1}$ is able to do/be/capable of doing/being $x_{2}$ (event/state) under conditions $x_{3}$ (event/state).	gismu
gapru	gap	above		$x_{1}$ is directly/vertically above/upwards-from $x_{2}$ in gravity/frame of reference $x_{3}$.	gismu
sucta	suc	abstract		$x_{1}$ (si'o) is abstracted/generalized/idealized from $x_{2}$ [something concrete] by rules $x_{3}$.	gismu
snuti	nut	accidental		$x_{1}$ (event/state) is an accident/unintentional on the part of $x_{2}$; $x_{1}$ is an accident.	gismu
janta	jat	account	bill	$x_{1}$ is an account/bill/invoice for goods/services $x_{2}$, billed to $x_{3}$ by $x_{4}$.	gismu
jaspu	jap	account	passport	$x_{1}$ is a passport issued to $x_{2}$ (person) by authority $x_{3}$ allowing $x_{4}$ (activity).	gismu
slami		acid		$x_{1}$ is a quantity of/contains/is made of acid of composition $x_{2}$; (adjective:) $x_{1}$ is acidic.	gismu
kramu		acre		$x_{1}$ is $x_{2}$ local area unit(s) [non-metric] (default 1) by standard $x_{3}$, $x_{4}$ subunits.	gismu
ragve	rav	across		$x_{1}$ is located across/on the other side of gap/boundary $x_{2}$ from $x_{3}$; $x_{1}$ is opposite (fi) $x_{3}$.	gismu
zukte	zuk zu'e	act		$x_{1}$ is a volitional entity employing means/taking action $x_{2}$ for purpose/goal $x_{3}$/to end $x_{3}$.	gismu
jmina	min	add		$x_{1}$ adds/combines $x_{2}$ to/with $x_{3}$, with result $x_{4}$; $x_{1}$ augments $x_{2}$ by amount $x_{3}$.	gismu
judri		address		$x_{1}$ is an address of/are coordinates of $x_{2}$ in system $x_{3}$.	gismu
lamji	lam la'i	adjacent	immediate	$x_{1}$ is adjacent/beside/next to/in contact with $x_{2}$ in property/sequence $x_{3}$ in direction $x_{4}$.	gismu
stika	tik	adjust	edit	$x_{1}$ (event) adjusts/regulates/changes $x_{2}$ (ka/ni) in amount/degree $x_{3}$.	gismu
jadni	jad ja'i	adorn	ornament	$x_{1}$ (object) adorns/decorates $x_{2}$; $x_{1}$ is an adornment/decoration of $x_{2}$; $x_{2}$ is fancy/decorated.	gismu
cuntu	cu'u	affair		$x_{1}$ is an affair/organized activity involving person(s) $x_{2}$ (ind./mass); $x_{1}$ is $x_{2}$'s business.	gismu
rafsi	raf	affix		$x_{1}$ is an affix/suffix/prefix/combining-form for word/concept $x_{2}$, form/properties $x_{3}$, language $x_{4}$.	gismu
lujvo	luv jvo	affix compound		$x_{1}$ (text) is a compound predicate word with meaning $x_{2}$ and arguments $x_{3}$ built from metaphor $x_{4}$.	gismu
tugni	tug tu'i	agree		$x_{1}$ [person] agrees with person(s)/position/side $x_{2}$ that $x_{3}$ (du'u) is true about matter $x_{4}$.	gismu
vacri	var	air		$x_{1}$ is a quantity of air/normally-gaseous atmosphere of planet $x_{2}$, of composition including $x_{3}$.	gismu
vinji	vij	airplane		$x_{1}$ is an airplane/aircraft [flying vehicle] for carrying passengers/cargo $x_{2}$, propelled by $x_{3}$.	gismu
xalka	xal	alcohol		$x_{1}$ is a quantity of/contains/is made of alcohol of type $x_{2}$ from source/process $x_{3}$.	gismu
fange		alien	foreign	$x_{1}$ is foreign/alien/[exotic]/unfamiliar to $x_{2}$ in property $x_{3}$ (ka).	gismu
jilka	jil	alkali		$x_{1}$ is a quantity of/contains/is made of alkali/base of composition including $x_{2}$.	gismu
vlina		alternation		$x_{1}$ is a logical alternation/disjunction, stating that $x_{2}$ (du'u) and/or $x_{3}$ (du'u) is/are true.	gismu
klani	lai	amount	level	$x_1$ is measured by $x_2$ (number) on scale $x_3$ (si'o, property of $x_1$ with kau).	gismu
ni	nil	amount abstract		abstractor: quantity/amount abstractor; $x_{1}$ is quantity/amount of [bridi] measured on scale $x_{2}$.	cmavo
xampo	xap xa'o	ampere		$x_{1}$ is $x_{2}$ ampere(s) [metric unit] in current (default is 1) by standard $x_{3}$.	gismu
banfi		amphibian		$x_{1}$ is an amphibian of species/breed $x_{2}$.	gismu
zdile	zdi	amusing	fun	$x_{1}$ (abstract) is amusing/entertaining to $x_{2}$ in property/aspect $x_{3}$; $x_{3}$ is what amuses $x_{2}$ about $x_{1}$.	gismu
lanli	lal	analyze	examine	$x_{1}$ analyzes/examines-in-detail $x_{2}$ by method/technique/system $x_{3}$ [process/activity].	gismu
jganu	jga	angle		$x_{1}$ is an angle [2-dimensional shape/form] from vertex $x_{2}$ subtended by lateral [segment] $x_{3}$.	gismu
fengu	feg fe'u	angry		$x_{1}$ is angry/mad at $x_{2}$ for $x_{3}$ (action/state/property).	gismu
dunku	duk du'u	anguish		$x_{1}$ is anguished/distressed/emotionally wrought/stressed by $x_{2}$.	gismu
danlu	dal da'u	animal		$x_{1}$ is an animal/creature of species $x_{2}$; $x_{1}$ is biologically animate.	gismu
fanza	faz	annoy		$x_{1}$ (event) annoys/irritates/bothers/distracts $x_{2}$.	gismu
danfu	daf	answer		$x_{1}$ is the answer/response/solution/[reply] to question/problem $x_{2}$.	gismu
manti		ant		$x_{1}$ is an ant of species/breed $x_{2}$.	gismu
pu'o		anticipative		interval event contour: in anticipation of ...; until ... ; inchoative ----| |.	cmavo
ganxo	gax	anus	asshole	$x_{1}$ is a/the anus/anal orifice/asshole/arsehole [body-part] of $x_{2}$; [metaphor: exit, waste exit].	gismu
sepli	sep sei	apart	spaced	$x_{1}$ is apart/separate from $x_{2}$, separated by partition/wall/gap/interval/separating medium $x_{3}$.	gismu
cabra	ca'a	apparatus		$x_{1}$ is apparatus/mechanism/device/equipment for function $x_{2}$ controlled/[triggered] by $x_{3}$ (agent).	gismu
plise		apple		$x_{1}$ is an apple [fruit] of species/strain $x_{2}$.	gismu
zanru	zar zau	approve		$x_{1}$ approves of/gives favor to plan/action $x_{2}$ (object/event).	gismu
bargu	bag	arch		$x_{1}$ arches/curves over/around $x_{2}$ and is made of $x_{3}$; $x_{1}$ is an arch over/around $x_{2}$ of material $x_{3}$.	gismu
darlu	dau	argue		$x_{1}$ argues for stand $x_{2}$ against stand $x_{3}$; [an opponent is not necessary].	gismu
sumti	sum su'i	argument		$x_{1}$ is a/the argument of predicate/function $x_{2}$ filling place $x_{3}$ (kind/number).	gismu
birka	bir	arm		$x_{1}$ is a/the arm [body-part] of $x_{2}$; [metaphor: branch with strength].	gismu
jenmi	jem jei	army		$x_{1}$ (mass) is an army serving group/community $x_{2}$ (mass) in function $x_{3}$ (activity).	gismu
larcu	lar	art		$x_{1}$ (process) is an art [creative application] of craft/skill $x_{2}$ (idea/activity).	gismu
gadri	gad	article		$x_{1}$ is an article/descriptor labelling description $x_{2}$ (text) in language $x_{3}$ with semantics $x_{4}$.	gismu
rutni	run	artifact		$x_{1}$ is an artifact; $x_{1}$ is artificial; $x_{1}$ is made/caused by people/se kulnu $x_{2}$; $x_{1}$ is man-made.	gismu
ca'o		as	continuative	interval event contour: during ...; continuative |-----|.	cmavo
fraksino		ash		$nは灰	override
ckeji	kej cke	ashamed		$x_{1}$ feels ashamed/mortified/humiliated under conditions $x_{2}$ before community/audience $x_{3}$.	gismu
cpedu	cpe	ask	request	$x_{1}$ requests/asks/petitions/solicits for $x_{2}$ of/from $x_{3}$ in manner/form $x_{4}$.	gismu
xusra	xus xu'a	assert	claim	$x_{1}$ (agent) asserts/claims/declares $x_{2}$ (du'u) is true [can be used for epistemology of authority].	gismu
vrici		assorted	diverse	$x_{1}$ (set/mass/ind.) is miscellaneous/various/assorted in property $x_{2}$ (ka).	gismu
sruma	ru'a	assume	suppose	$x_{1}$ assumes/supposes that $x_{2}$ (du'u) is true about subject $x_{3}$; [epistemology].	gismu
zvati	zva	at		$x_{1}$ (object/event) is at/attending/present at $x_{2}$ (event/location).	gismu
su'e	sup su'e	at most		digit/number: at most (all); no more than.	cmavo
ratni	rat	atom		$x_{1}$ is an atom of element/atomic number $x_{2}$ of isotope number/atomic weight $x_{3}$.	gismu
gunta	gut	attack		$x_{1}$ (person/mass) attacks/invades/commits aggression upon victim $x_{2}$ with goal/objective $x_{3}$.	gismu
vitke	vi'e	attend	guest	$x_{1}$ is a guest/visitor of $x_{2}$ at place/event $x_{3}$; $x_{1}$ visits $x_{2}$/$x_{3}$.	gismu
jundi	jud ju'i	attentive	follow	$x_{1}$ is attentive towards/attends/tends/pays attention to object/affair $x_{2}$.	gismu
trina	tri	attract		$x_{1}$ attracts/appeals to/lures $x_{2}$ (person/event) with property/quality $x_{3}$ (ka).	gismu
ckaji	kai	attribute	characteristic	$x_{1}$ has/is characterized by property/feature/trait/aspect/dimension $x_{2}$ (ka); $x_{2}$ is manifest in $x_{1}$.	gismu
darsi		audacity		$x_{1}$ shows audacity/chutzpah in behavior $x_{2}$ (event/activity); $x_{1}$ dares to do/be $x_{2}$ (event/ka).	gismu
famti		aunt or uncle		$x_{1}$ is an aunt/uncle of $x_{2}$ by bond/tie $x_{3}$; $x_{1}$ is an associated member of $x_{2}$'s parent's generation.	gismu
catni	ca'i	authority		$x_{1}$ has authority/is an official in/on/over matter/sphere/persons $x_{2}$ derived on basis $x_{3}$.	gismu
zmiku	zmi	automatic		$x_{1}$ is automatic in function $x_{2}$ under conditions $x_{3}$.	gismu
karce		automobile	car	$x_{1}$ is a car/automobile/truck/van [a wheeled motor vehicle] for carrying $x_{2}$, propelled by $x_{3}$	gismu
critu		autumn		$x_{1}$ is autumn/fall [harvest/cooling season] of year $x_{2}$ at location $x_{3}$.	gismu
rivbi	riv	avoid	escape	$x_{1}$ avoids/evades/shuns/escapes/skirts [fate] $x_{2}$ (event) through action/state $x_{3}$ (event).	gismu
cikna	cik	awake		(adjective:) $x_{1}$ is awake/alert/conscious.	gismu
jendu	jed	axle		$x_{1}$ is an axle/spindle [tool] on which $x_{2}$ rotates, of material/properties $x_{3}$.	gismu
jurme	jum	bacteria	germ	$x_{1}$ is a bacterium/germ/microbe/protozoan/amoeba [1-celled life] of species/defining property $x_{2}$.	gismu
xlali	xla	bad		$x_{1}$ is bad for $x_{2}$ by standard $x_{3}$; $x_{1}$ is poor/unacceptable to $x_{2}$.	gismu
dakli		bag	sack	$x_{1}$ is a sack/bag with contents $x_{2}$, and of material $x_{3}$.	gismu
lanxe	lax	balance		$x_{1}$ is in balance/equilibrium under forces $x_{2}$ (mass).	gismu
balni		balcony		$x_{1}$ is a balcony/overhang/ledge/shelf of building/structure $x_{2}$.	gismu
bolci	bol boi	ball		$x_{1}$ is a ball/sphere/orb/globe [shape/form] of material $x_{2}$; $x_{1}$ is a spherical object [made of $x_{2}$].	gismu
badna		banana	plantain	$x_{1}$ is a banana/plantain [fruit/plant] of species/breed $x_{2}$.	gismu
bende	bed be'e	band	club	$x_{1}$ is a crew/team/gang/squad/band of persons $x_{2}$ directed/led by $x_{3}$ organized for purpose $x_{4}$.	gismu
banxa	bax	bank		$x_{1}$ is a bank owned by/in banking system $x_{2}$ for banking function(s) $x_{3}$ (event).	gismu
barja		bar		$x_{1}$ is a tavern/bar/pub serving $x_{2}$ to audience/patrons $x_{3}$.	gismu
lunbe	lub	bare	naked	$x_{1}$ is bare/naked/nude; $x_{1}$ is without cover/clothes/[protection].	gismu
bavmi		barley		$x_{1}$ is a quantity of barley [grain] of species/strain $x_{2}$.	gismu
jicmu	cmu	basic	basis	$x_{1}$ is a basis/foundation/underlying or fundamental principle of $x_{2}$; $x_{1}$ is at the bottom of $x_{2}$.	gismu
lanka		basket		$x_{1}$ is a basket with contents $x_{2}$, woven from material $x_{3}$.	gismu
zbani		bay		$x_{1}$ is a bay in/of coast/shoreline $x_{2}$.	gismu
xagji		be hungry		$x_{1}$ hungers for $x_{2}$; $x_{1}$ needs/wants food/fuel $x_{2}$.	gismu
bidju		bead		$x_{1}$ is a bead/pebble [shape/form] of material $x_{2}$.	gismu
dembi	deb	bean		$x_{1}$ is a bean/pea/leguminous seed from plant [legume] $x_{2}$.	gismu
cribe	rib	bear		$x_{1}$ is a bear/ursoid of species/breed $x_{2}$.	gismu
melbi	mel mle	beautiful	handsome	$x_{1}$ is beautiful/pleasant to $x_{2}$ in aspect $x_{3}$ (ka) by aesthetic standard $x_{4}$.	gismu
binxo	bix bi'o	become		$x_{1}$ becomes/changes/converts/transforms into $x_{2}$ under conditions $x_{3}$.	gismu
ckana	cka	bed		$x_{1}$ is a bed/pallet of material $x_{2}$ for holding/supporting $x_{3}$ (person/object/event).	gismu
bifce	bic	bee		$x_{1}$ is a bee/wasp/hornet of species/breed $x_{2}$.	gismu
birje		beer		$x_{1}$ is made of/contains/is an amount of beer/ale/brew brewed from $x_{2}$.	gismu
pikci		beg		$x_{1}$ begs/pleads/supplicates/entreats/implores/beseeches/prays [asks with humility] $x_{2}$ for $x_{3}$.	gismu
tarti	tra	behave		$x_{1}$ behaves/conducts oneself as/in-manner $x_{2}$ (event/property) under conditions $x_{3}$.	gismu
trixe	rix ti'e	behind	back	$x_{1}$ is posterior/behind/back/in the rear of $x_{2}$ which faces/in-frame-of-reference $x_{3}$.	gismu
krici	kri	believe	faith	$x_{1}$ believes [regardless of evidence/proof] belief/creed $x_{2}$ (du'u) is true/assumed about subject $x_{3}$.	gismu
janbe	jab	bell		$x_{1}$ is a bell/chime/[tuning fork] [tuned percussion instrument] producing sound/note $x_{2}$.	gismu
cnita	nit ni'a	beneath	under	$x_{1}$ is directly/vertically beneath/below/under/underneath/down from $x_{2}$ in frame of reference $x_{3}$.	gismu
korcu	kro	bent	crooked	(adjective:) $x_{1}$ is bent/crooked/not straight or direct/[twisted]/folded.	gismu
jbari	jba	berry		$x_{1}$ is a berry (fruit/plant) of plant/species $x_{2}$.	gismu
traji	rai	best	least	$x_{1}$ is superlative in property $x_{2}$ (ka), the $x_{3}$ extreme (ka; default ka zmadu) among set/range $x_{4}$.	gismu
jbini	bin bi'i	between		$x_{1}$ is between/among set of points/bounds/limits $x_{2}$ (set)/amidst mass $x_{2}$ in property $x_{3}$ (ka).	gismu
barda	bra	big	large	$x_{1}$ is big/large in property/dimension(s) $x_{2}$ (ka) as compared with standard/norm $x_{3}$.	gismu
cipni	cpi	bird		$x_{1}$ is a bird/avian/fowl of species $x_{2}$.	gismu
batci	bat	bite		$x_{1}$ bites/pinches $x_{2}$ on/at specific locus $x_{3}$ with $x_{4}$.	gismu
kurki		bitter		$x_{1}$ is bitter/acrid/sharply disagreeable to observer/sense $x_{2}$.	gismu
xekri	xek xe'i	black		$x_{1}$ is black/extremely dark-colored [color adjective].	gismu
balre	ba'e	blade		$x_{1}$ is a blade of tool/weapon $x_{2}$.	gismu
bliku	bli	block		$x_{1}$ is a block [3-dimensional shape/form] of material $x_{2}$, surfaces/sides $x_{3}$.	gismu
ciblu	blu	blood		$x_{1}$ is blood/vital fluid of organism $x_{2}$.	gismu
mabla	mal	bloody	execrable	$x_1$ is execrable/deplorable/wretched/shitty/awful/rotten/miserable/contemptible/crappy/inferior/low-quality in property $x_2$ by standard $x_3$; $x_1$ stinks/sucks in aspect $x_2$ according to $x_3$.	gismu
blanu	bla	blue		$x_{1}$ is blue [color adjective].	gismu
tanbo	ta'o	board		$x_{1}$ is a board/plank [3-dimensional long flat rectangle] of material $x_{2}$.	gismu
bloti	lot blo lo'i	boat		$x_{1}$ is a boat/ship/vessel [vehicle] for carrying $x_{2}$, propelled by $x_{3}$.	gismu
xadni	xad	body		$x_{1}$ is a/the body/corpus/corpse of $x_{2}$; (adjective:) $x_{1}$ is corporal/corporeal.	gismu
febvi	feb	boil		$x_{1}$ boils/evaporates at temperature $x_{2}$ and pressure $x_{3}$.	gismu
jbama	bam	bomb		$x_{1}$ is a bomb/explosive device with explosive material/principle $x_{2}$.	gismu
bongu	bog bo'u	bone		$x_{1}$ is a/the bone/ivory [body-part], performing function $x_{2}$ in body of $x_{3}$; [metaphor: calcium].	gismu
cukta	cku	book		$x_{1}$ is a book containing work $x_{2}$ by author $x_{3}$ for audience $x_{4}$ preserved in medium $x_{5}$.	gismu
tinri		bore		$nは$aに飽きる (意外性=-)	override
jbena	jbe	born		$x_{1}$ is born to $x_{2}$ at time $x_{3}$ [birthday] and place $x_{4}$ [birthplace]; $x_{1}$ is native to (fo) $x_{4}$.	gismu
jbera	jer	borrow		$x_{1}$ (agent) borrows/temporarily takes/assumes $x_{2}$ (object) from source $x_{3}$ for interval $x_{4}$.	gismu
botpi	bot bo'i	bottle		$x_{1}$ is a bottle/jar/urn/flask/closable container for $x_{2}$, made of material $x_{3}$ with lid $x_{4}$.	gismu
bakni	bak	bovine		$x_{1}$ is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed $x_{2}$.	gismu
tanxe	tax ta'e	box		$x_{1}$ is a box/carton/trunk/crate for contents $x_{2}$, and made of material $x_{3}$.	gismu
nanla		boy		$x_{1}$ is a boy/lad [young male person] of age $x_{2}$ immature by standard $x_{3}$.	gismu
besna	ben	brain		$x_{1}$ is a/the brain [body-part] of $x_{2}$; [metaphor: intelligence, mental control].	gismu
jabre		brake		$x_{1}$ brakes/causes to slow motion/activity $x_{2}$ with device/mechanism/principle $x_{3}$.	gismu
jimca	jic	branch		$x_{1}$ is a branch/bough/limb of $x_{2}$; $x_{2}$ forks into branches $x_{1}$; [preferred over metaphorical birka].	gismu
lastu		brass		$x_{1}$ is a quantity of/contains/is made of brass [copper/zinc alloy] of composition including $x_{2}$.	gismu
virnu	vri	brave		$x_{1}$ is brave/valiant/courageous in activity $x_{2}$ (event) by standard $x_{3}$.	gismu
nanba	nab	bread		$x_{1}$ is a quantity of/contains bread [leavened or unleavened] made from grains $x_{2}$.	gismu
porpi	pop po'i	break		$x_{1}$ breaks/fractures/shatters/[splits/splinters/cracks] into pieces $x_{2}$.	gismu
