token	jbo	rafsi	en	description	jbo description
sa	so'u	sot	few	少量	digit/number: few.
fi					
fy					
fw					
fe	fe		2nd sumti place	連言. かつ	sumti place tag: tag 2nd sumti place.
fq					
fo	fo		4th sumti place	選言. または	sumti place tag: tag 4th sumti place.
fa	fa		1st sumti place	同値. 即ち	sumti place tag: tag 1st sumti place.
hw					
hu			begin	開始相. …し始める	
he					
ho					
ha					
ji					
jy					
je			_close	構造を閉ぢる. 非曖昧な時に省略する	
jq					
ja	ja'au		decreasing number	增加量	subjective number which is decreasing over time
zw			so	非制限修飾. 當然に…である	
zu	ze'au		increasing number	減少量	subjective number which is increasing over time
ze			ly	己格. この文自身が指す事象を…として	
zo					
za	ze	zel	7	7	digit/number: 7 (digit) [seven].
vi			will	未來	
vy					
vw					
ve					
vq					
vo	vo	von	4	4	digit/number: 4 (digit) [four].
va					
ri					
ry					
rw					
ru					
re			him	對格. …を	
rq					
ro	ro	rol	each	最多量	digit/number: each, all.
ra	re	rel	2 two	2	digit/number: 2 (digit) [two].
gwn					
gwx					
gwl					
gws					
gwf					
gwr					
gun					
gux					
gul					
gus					
guf					
gur					
gen					
gex					
gel					
ges					
gef					
ger					
gon					
gox					
gol					
gos					
gof					
gor					
gan					
gax					
gal					
gas					
gaf					
gar					
nin					
nix					
nil					
nis					
nif					
nir	ni	nil	amount abstract	數量疑問. 幾つ	abstractor: quantity/amount abstractor; $x_{1}$ is quantity/amount of [bridi] measured on scale $x_{2}$.
nyn					
nyx					
nyl					
nys					
nyf					
nyr					
nwn					
nwx					
nwl					
nws					
nwf					
nwr					
nun					
nux					
nul					
nus					
nuf					
nur					
nen					
nex					
nel					
nes					
nef					
ner					
nqn					
nqx					
nql					
nqs					
nqf					
nqr					
non					
nox					
nol					
nos					
nof					
nor					
nan					
nax					
nal					
nas					
naf					
nar					
min					
mix					
mil					
mis					
mif					
mir					
myn					
myx					
myl					
mys					
myf					
myr					
mwn					
mwx					
mwl					
mws					
mwf					
mwr					
mun					
mux					
mul					
mus					
muf					
mur					
men					
mex					
mel					
mes					
mef					
mer					
mqn					
mqx					
mql					
mqs					
mqf					
mqr					
mon					
mox					
mol					
mos					
mof					
mor					
man					
max					
mal					
mas					
maf					
mar					
cin					
cix					
cil					
cis					
cif					
cir					
cyn					
cyx					
cyl					
cys					
cyf					
cyr					
cwn					
cwx					
cwl					
cws					
cwf					
cwr					
cun					
cux					
cul					
cus					
cuf					
cur					
cen					
cex	ge'a		null operator	null. 空値	mathematical operator: null mathematical expression (mex) operator (used in >2-ary ops).
cel					
ces					
cef					
cer					
cqn					
cqx					
cql					
cqs					
cqf					
cqr					
con					
cox					
col					
cos					
cof					
cor					
can					
cax					
cal					
cas					
caf					
car					
din					
dix					
dil					
dis					
dif					
dir					
dwn					
dwx					
dwl					
dws					
dwf					
dwr					
dun					
dux					
dul					
dus					
duf					
dur					
den					
dex	de'o		logarithm	對數	binary mathematical operator: logarithm; [log/ln a to base b]; default base 10 or e.
del					
des					
def					
der					
don					
dox					
dol					
dos					
dof					
dor					
dan					
dax					
dal					
das					
daf					
dar					
bin					
bix					
bil					
bis					
bif					
bir					
byn					
byx					
byl					
bys					
byf					
byr					
bwn					
bwx					
bwl					
bws					
bwf					
bwr					
bun					
bux					
bul					
bus					
buf					
bur					
ben					
bex					
bel					
bes					
bef					
ber					
bqn					
bqx					
bql					
bqs					
bqf					
bqr					
bon					
box					
bol					
bos					
bof					
bor					
ban					
bax					
bal					
bas					
baf					
bar					
kin					
kix					
kil					
kis					
kif					
kir					
kyn					
kyx					
kyl					
kys					
kyf					
kyr					
kwn					
kwx					
kwl					
kws					
kwf					
kwr					
kun					
kux					
kul					
kus					
kuf					
kur					
ken					
kex					
kel					
kes					
kef					
ker					
kqn					
kqx					
kql					
kqs					
kqf					
kqr					
kon					
kox					
kol					
kos					
kof					
kor					
kan					
kax					
kal					
kas					
kaf					
kar					
tin					
tix					
til					
tis					
tif					
tir					
twn					
twx					
twl					
tws					
twf					
twr					
tun					
tux					
tul					
tus					
tuf					
tur					
ten					
tex	te'a		to the power	冪乘	binary mathematical operator: to the power; exponential; [a to the b power].
tel					
tes					
tef					
ter					
ton					
tox					
tol					
tos					
tof					
tor					
tan					
tax					
tal					
tas					
taf					
tar					
pin					
pix	pi'i		times	乘算, ×	n-ary mathematical operator: times; multiplication operator; [(((a * b) * c) * ...)].
pil					
pis					
pif					
pir					
pyn					
pyx					
pyl					
pys					
pyf					
pyr					
pwn					
pwx					
pwl					
pws					
pwf					
pwr					
pun					
pux					
pul					
pus					
puf					
pur					
pen					
pex					
pel					
pes					
pef					
per					
pqn					
pqx					
pql					
pqs					
pqf					
pqr					
pon					
pox					
pol					
pos					
pof					
por					
pan					
pax					
pal					
pas					
paf					
par					
xwn					
xwx					
xwl					
xws					
xwf					
xwr					
xun					
xux					
xul					
xus					
xuf					
xur					
xen					
xex					
xel					
xes					
xef					
xer					
xon					
xox					
xol					
xos					
xof					
xor					
xan					
xax					
xal					
xas					
xaf					
xar					
lin					
lix	ci'i		infinity	(加算または非可算の) 無限. ∞. ℵ	digit/number: infinity; followed by digits => aleph cardinality.
lil					
lis					
lif					
lir					
lyn					
lyx					
lyl					
lys					
lyf					
lyr					
len					
lex					
lel					
les					
lef					
ler					
lqn					
lqx					
lql					
lqs					
lqf					
lqr					
lan			less_than	…未滿. <	
lax					
lal					
las					
laf					
lar					
swn					
swx					
swl					
sws					
swf					
swr					
sun					
sux	su'i		plus	加算. +	n-ary mathematical operator: plus; addition operator; [(((a + b) + c) + ...)].
sul					
sus					
suf	su'e	sup su'e	at most	最大…. ≤	digit/number: at most (all); no more than.
sur					
sen					
sex					
sel					
ses					
sef					
ser					
son					
sox					
sol					
sos					
sof					
sor					
san					
sax					
sal					
sas					
saf					
sar					
fin					
fix					
fil					
fis					
fif					
fir					
fyn					
fyx					
fyl					
fys					
fyf					
fyr					
fwn					
fwx					
fwl					
fws					
fwf					
fwr					
fen					
fex	fe'i		divided by	除算. /	n-ary mathematical operator: divided by; division operator; [(((a / b) / c) / ...)].
fel					
fes					
fef					
fer					
fqn					
fqx					
fql					
fqs					
fqf					
fqr					
fon					
fox					
fol			_var	變項選言と本文を區切る	
fos					
fof					
for					
fan					
fax					
fal					
fas					
faf					
far					
hwn					
hwx					
hwl					
hws					
hwf					
hwr					
hun					
hux					
hul					
hus					
huf					
hur					
hen					
hex					
hel					
hes					
hef					
her					
hon					
hox					
hol					
hos					
hof					
hor					
han					
hax					
hal					
has					
haf					
har					
jin					
jix					
jil					
jis					
jif					
jir					
jyn					
jyx					
jyl					
jys					
jyf					
jyr					
jen					
jex					
jel					
jes					
jef					
jer					
jqn					
jqx					
jql					
jqs					
jqf					
jqr					
jan					
jax					
jal					
jas					
jaf					
jar					
zwn					
zwx					
zwl					
zws					
zwf					
zwr					
zun					
zux					
zul					
zus					
zuf					
zur					
zen					
zex					
zel					
zes					
zef					
zer					
zon					
zox					
zol					
zos					
zof					
zor					
zan					
zax					
zal					
zas					
zaf					
zar					
vin					
vix					
vil					
vis					
vif					
vir					
vyn					
vyx					
vyl					
vys					
vyf					
vyr					
vwn					
vwx					
vwl					
vws					
vwf					
vwr					
ven					
vex	vei'u		% fractional-part function	剩餘	binary mekso operator: mod(ulus)/remainder; $X_1$ \% $X_2$, $\,\,\, X_1$ (mod($X_2$)).
vel					
ves					
vef					
ver					
vqn					
vqx					
vql					
vqs					
vqf					
vqr					
von					
vox	vu'u		minus	減算. -	n-ary mathematical operator: minus; subtraction operator; [(((a - b) - c) - ...)].
vol					
vos					
vof					
vor					
van					
vax					
val					
vas					
vaf					
var					
rin					
rix					
ril					
ris					
rif					
rir					
ryn					
ryx					
ryl					
rys					
ryf					
ryr					
rwn					
rwx					
rwl					
rws					
rwf					
rwr					
run					
rux					
rul					
rus					
ruf					
rur					
ren					
rex					
rel					
res					
ref					
rer					
rqn					
rqx					
rql					
rqs					
rqf					
rqr					
ron					
rox					
rol					
ros					
rof					
ror					
ran					
rax					
ral					
ras					
raf					
rar					
gwga					
gwna					
gwma					
gwxa					
gwla					
gwsa					
gwfa					
gwha					
gwja					
gwza					
gwva					
gwra					
gugu					
gugo					
gunu	ckunu	ku'u	conifer		$x_{1}$ is a conifer/pine/fir of species/strain $x_{2}$ with cones $x_{3}$.
guno					
gumu					
gumo					
guxu					
guxo					
gusu	sluni		onion		$x_{1}$ is a quantity of/contains onions/scallions of type/cultivar $x_{2}$.
guso					
gufo					
guhu					
guho					
guzu					
guzo					
guvo					
guru	gluta	glu	glove		$x_{1}$ is a mitten/glove [hand and lower arm garment] of material $x_{2}$.
guro	skuro	ku'o	groove		$x_{1}$ is a groove/trench/furrow [shape/form] in object/surface $x_{2}$.
gege					
gega					
geni					
gene					
genq					
gena					
gemi			mass	$nの質量は$a	
geme					
gemq					
gema					
gexe					
gexa					
geli					
gele					
gelq					
gela					
gese					
gesa					
gefi					
gefe					
gefq					
gefa					
gehe					
geha					
geji					
geje					
gejq					
geja					
geze					
geza					
gevi					
geve					
gevq					
geva					
geri	srito		Sanskrit		$x_{1}$ reflects Sanskrit language/Sanskritic/Vedic culture/nationality in aspect $x_{2}$.
gere					
gerq					
gera					
gogu					
gogo					
goga					
gonu					
gono			oblique	$nは非主格	
gona					
gomu					
gomo					
goma					
goxu					
goxo					
goxa					
gola					
gosu					
goso					
gosa					
gofo					
gofa					
gohu					
goho					
goha					
goja					
gozu					
gozo					
goza			sperm	$nは精子	
govo					
gova					
goru	grusi	rus	gray		$x_{1}$ is gray [color adjective].
goro					
gora					
gagw					
gage					
gago					
gaga					
ganw					
gane					
gano					
gana	ckana	cka	bed		$x_{1}$ is a bed/pallet of material $x_{2}$ for holding/supporting $x_{3}$ (person/object/event).
gamw					
game					
gamo					
gama					
gaxw					
gaxe					
gaxo					
gaxa					
gale			simulate	$nは$aを模倣する (擬裝する)	
gala					
gasw					
gase					
gaso					
gasa					
gafw					
gafe			wont	$nは$aに慣れる (意外性=小)	
gafo					
gafa					
gahw					
gahe					
gaho					
gaha					
gaje					
gaja					
gazw					
gaze					
gazo					
gaza					
gavw					
gave					
gavo					
gava					
garw					
gare					
garo					
gara					
nige	sligu	lig	solid	$nは個體	$x_{1}$ is solid, of composition/material including $x_{2}$, under conditions $x_{3}$.
nini	linge	ling			$x_1$ has [self-proclaimed] gender $x_2$
niny	lindi	lid	lightning	$nは雷	$x_{1}$ is lightning/electrical arc/thunderbolt striking at/extending to $x_{2}$ from $x_{3}$.
nine	lidne	li'e	lead precede		$x_{1}$ precedes/leads $x_{2}$ in sequence $x_{3}$; $x_{1}$ is former/preceding/previous; $x_{2}$ is latter/following.
nimi					
nimy	ninmu	nim ni'u	woman	$nは卵巢	$x_{1}$ is a woman/women; $x_{1}$ is a female humanoid person [not necessarily adult].
nime	nimre		citrus		$x_{1}$ is a quantity of citrus [fruit/tree, etc.] of species/strain $x_{2}$.
nixe	nixli	nix xli	girl		$x_{1}$ is a girl [young female person] of age $x_{2}$ immature by standard $x_{3}$.
nili	niclu		evolutionary niche niche		$x_1$ (partially) occupies/fulfills niche $x_2$ (this is a specific assemblage of roles, purposes, strategies, characteristics, behaviors, physical forms or traits, interactions with an environment, etc.) via particular method/mode/trait $x_3$, in evolutionary or interaction or social or ecological or conceptual or strategic or physical environment $x_4$; the $x_2$ niche is occupied by $x_1$ in way or via form/fashion $x_3$; $x_2$ is a niche in evolutionary system $x_4$.
nily	nicte	cte	night	$nは$a (惑星) の夜	$x_{1}$ is a nighttime of day $x_{2}$ at location $x_{3}$; (adjective:) $x_{1}$ is at night/nocturnal.
nile	nitcu	tcu	need		$x_{1}$ needs/requires/is dependent on/[wants] necessity $x_{2}$ for purpose/action/stage of process $x_{3}$.
nise	linsi	lin	chain		$x_{1}$ is a length of chain/links of material $x_{2}$ with link properties $x_{3}$.
nifi	cnisa	nis	lead		$x_{1}$ is a quantity of/contains/is made of lead (Pb); [metaphor: heavy, malleable, soft metal].
nify	snipa	nip	sticky stick		$x_{1}$ adheres/sticks to $x_{2}$; (adjective:) $x_{1}$ is sticky/gummy/adhesive.
nife	nicfa		displacement		$x_1$ (vector) is the displacement of $x_2$ (object/point) relative to $x_3$ (object/point; contextless default: origin) in coordinate system/frame of reference/as measured by $x_4$ according to definition/standard/(meta)physics $x_5$
nihe	snidu	nid	second		$x_{1}$ is $x_{2}$ seconds in duration (default is 1 second) by standard $x_{3}$.
niji	nibli	nib ni'i	necessitate		$x_{1}$ logically necessitates/entails/implies action/event/state $x_{2}$ under rules/logic system $x_{3}$.
nijy	sniju				$x_1$ is a coconut (Cocos nucifera) of variety $x_2$
nije	nikle	nik	nickel		$x_{1}$ is made of/contains/is a quantity of nickel/other metal resistant to oxidation.
nize	cnida				$x_1$ empathizes with $x_2$, showing same emotion $x_3$ about $x_4$
nivi	nivji	niv	knit		$x_{1}$ (agent) knits $x_{2}$ [cloth/object] from yarn/thread $x_{3}$.
nivy	cliva	liv li'a	leave	$nは始點 (起源, 由來) $aから來る	$x_{1}$ leaves/goes away/departs/parts/separates from $x_{2}$ via route $x_{3}$.
nive	cribe	rib	bear	$nは熊 (熊科)	$x_{1}$ is a bear/ursoid of species/breed $x_{2}$.
niri	nirna	nir	nerve		$x_{1}$ is a nerve/neuron [body-part] of $x_{2}$; [metaphor: information/control network connection].
niry	rirli		real-life		$x_1$ is realistic/sane (colloquial sense)/pragmatic/practical/typical/frequent/fairly probable/deemed to be likely to actually happen in real-life (as opposed to in a flight of fantasy or being merely possible but unlikely/abnormal) according to judge $x_2$ and under external conditions/rules for judgment/considerations $x_3$
nire	nilce	ni'e	furniture		$x_{1}$ [furniture items] furnishes $x_{2}$ [location] serving purpose/function $x_{3}$.
nyni					
nymi					
nyli					
nyfi					
nyji					
nyvi					
nyri	drisu		drug medicine		$x_1$ is medicine used to treat illness/disease $x_2$ ({bilma}/ka/state) via mechanism of action $x_3$ (event) at dosage $x_4$ (ka))
nwga					
nwna					
nwma					
nwxa					
nwla			want	$nは$aを求む	
nwsa					
nwfa					
nwha					
nwja			host	主人$nは客人$aを持て成す	
nwza					
nwva					
nwra					
nugu					
nugo					
nunu	rupnu	rup ru'u	dollar		$x_{1}$ is measured in major-money-units (dollar/yuan/ruble) as $x_{2}$ (quantity), monetary system $x_{3}$.
nuno	nukni	nuk	magenta		$x_{1}$ is magenta/fuchsia/purplish-red [color adjective].
numu	nunmu		non-binary person		$x_1$ is a non-binary humanoid person [not necessarily adult].
numo	nurma	num	rural		$x_{1}$ is a rural/rustic/pastoral area of $x_{2}$; $x_{1}$ is in the country.
nuxu	nuktu				$x_1$ reflects Inuit/Eskimo culture/language/people/geography in aspect $x_2$
nuxo	nutko				$x_1$ is the language/sublanguage that uses no apparent terbri/selbri distinction and is used by $x_2$ to express ideas (not text) $x_3$.
nusu	nusna		induce induct		$x_1$ induces $x_2$ about $x_3$ from specific facts $x_4$
nuso	nuzlo				$x_1$ reflects New Zealand culture/nationality/geography/dialect in aspect $x_2$.
nufo	nulpa		1 base SI prefix		$x_1$ is 1 [$1*10^0$] of $x_2$ in dimension/aspect $x_3$ (default is units).
nuhu					
nuho					
nuzu	nuzba	nuz	news		$x_{1}$ (du'u) is news/tidings/new information about subject $x_{2}$ from source $x_{3}$, to observer $x_{4}$.
nuzo	nudle				$x_1$ are noodles made of $x_2$
nuvo					
nuru	nupre	nup nu'e	promise	$nは$aを約束する	$x_{1}$ (agent) promises/commits/assures/threatens $x_{2}$ (event/state) to $x_{3}$ [beneficiary/victim].
nuro	nutli	nul nu'i	neutral		$x_{1}$ is neutral/not taking sides/medial/not towards any extreme on scale/in dissension $x_{2}$.
nege					
nega					
neni	nejni	nen	energy	$nの能源は$a	$x_{1}$ is energy of type $x_{2}$ in form $x_{3}$.
nene					
nenq					
nena					
nemi					
neme					
nemq					
nema	cnemu	nem ne'u	reward		$x_{1}$ (agent) rewards $x_{2}$ [recipient] for atypical $x_{3}$ (event/property) with reward/desserts $x_{4}$.
nexe					
nexa					
neli	nelci	nel nei	fond like	$nは$aを好む	$x_{1}$ is fond of/likes/has a taste for $x_{2}$ (object/state).
nele					
nelq					
nela					
nese					
nesa	cnita	nit ni'a	beneath under	$nは$aより下に有る (重心へ近い)	$x_{1}$ is directly/vertically beneath/below/under/underneath/down from $x_{2}$ in frame of reference $x_{3}$.
nefi					
nefe					
nefq					
nefa					
nehe					
neha					
neji					
neje					
nejq					
neja					
neze					
neza					
nevi					
neve					
nevq					
neva					
neri	nenri	ner ne'i	in		$x_{1}$ is in/inside/within $x_{2}$; $x_{1}$ is on the inside/interior of $x_{2}$ [totally within the bounds of $x_{2}$].
nere	nedlo		Dutch		$x_1$ pertains to Dutch/Netherlandic culture/language/ethnicity in aspect $x_2$
nerq	nerde		geek nerd		$x_1$ is a nerd/geek (demonstrates esoteric intense interests at the cost of social acceptance) according to standard/within culture $x_2$ with nerdy/geeky interests $x_3$
nera	srera	sre	err		$x_{1}$ errs in doing/being/making mistake $x_{2}$ (event), an error under conditions $x_{3}$ by standard $x_{4}$.
nqge					
nqne					
nqme					
nqxe					
nqle					
nqse					
nqfe					
nqhe					
nqje					
nqze			lick	$nは$aを舐める	
nqve			randy	$nは$aに欲情する	
nqre					
nogu					
nogo					
noga					
nonu	nonmu		agender		$x_1$ is an agender humanoid person [not necessarily adult].
nono					
nona	nonka		alone		$x_1$ is alone in event/state/action $x_2$
nomu					
nomo					
noma	sruma	ru'a	assume suppose		$x_{1}$ assumes/supposes that $x_{2}$ (du'u) is true about subject $x_{3}$; [epistemology].
noxu					
noxo					
noxa					
nola	rokci	rok ro'i	rock	$nは石 (巖, 鑛物)	$x_{1}$ is a quantity of/is made of/contains rock/stone of type/composition $x_{2}$ from location $x_{3}$.
nosu					
noso					
nosa					
nofo					
nofa					
nohu					
noho					
noha					
noja	notci	not noi	message		$x_{1}$ is a message/notice/memorandum about subject $x_{2}$ from author $x_{3}$ to intended audience $x_{4}$.
nozu					
nozo					
noza					
novo					
nova					
noru	nobli	nol no'i	noble	$nは特權を持つ (貴族)	$x_{1}$ is noble/aristocratic/elite/high-born/titled in/under culture/society/standard $x_{2}$.
noro	norgo		Norway Norwegian		$x_1$ reflects Norwegian culture/nationality in aspect $x_2$
nora	snura	nur nu'a	secure safe		$x_{1}$ is secure/safe from threat $x_{2}$ (event).
nagw					
nage	narge	nag	nut		$x_{1}$ is a nut [body-part: hard-shelled fruit] from plant/species $x_{2}$ with shell $x_{3}$ and kernel $x_{4}$.
nago					
naga					
nanw	lante		can		$x_{1}$ is a can/tightly sealed/pre-sealed container for perishable contents $x_{2}$, made of $x_{3}$.
nane	nandu	nad	difficult hard		$x_{1}$ is difficult/hard/challenging for $x_{2}$ under conditions $x_{3}$; $x_{1}$ challenges (non-agentive) $x_{2}$.
nano	nanvi	nav	1E-9 nano		$x_{1}$ is a billionth/thousand-millionth [$10^{-9}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
nana	nakni	nak	male	$nは精巢	$x_1$ is a male/buck of species $x_2$ evidencing masculine physical/biological/genetic trait(s) $x_3$ (ka); $x_1$ is masculine.
namw	crami		mythological animal mythological fungus		$x_1$ is a mythological/fantastic creature [mythical organism] of mythos/religion/story/culture $x_2$.
name	natmi	nat nai	nation	$nは國家	$x_{1}$ is a nation/ethnic group of peoples $x_{2}$; [people sharing a history/culture].
namo	nabmi	nam	problem		$x_{1}$ (event/state) is a problem to/encountered by $x_{2}$ in situation/task/inquiry $x_{3}$.
nama	nanmu	nau	man		$x_{1}$ is a man/men; $x_{1}$ is a male humanoid person [not necessarily adult].
naxw					
naxe					
naxo					
naxa					
nale	namcu	nac na'u	number		$x_{1}$ (li) is a number/quantifier/digit/value/figure (noun); refers to the value and not the symbol.
nala	nanca	na'a	year	$nは$a (惑星) の年 (公轉周期)	$x_{1}$ is $x_{2}$ years in duration (default is 1 year) by standard $x_{3}$; (adjective:) $x_{1}$ is annual.
nasw	srasu	sas	grass	$nは草本植物	$x_{1}$ is a blade/expanse of grass of species $x_{2}$.
nase					
naso	rakso		Iraqi		$x_{1}$ reflects Iraqi culture/nationality in aspect $x_{2}$.
nasa					
nafw	snafu		snafu		$x_1$ is a fucked up/snafu/gaffe/messed up (wrong) event/situation caused by $x_2$ by standard $x_3$; $x_2$ fucks up in doing or by causing $x_1$.
nafe	natfe	naf na'e	contradict deny	$nは$aを否定 (に矛盾) する	$x_{1}$ (du'u) contradicts/denies/refutes/negates $x_{2}$ (du'u) under rules/logic $x_{3}$.
nafo	nalfo				$x_1$ is a faucet/spigot/tap made of $x_2$
nafa					
nahw					
nahe					
naho					
naha					
naje					
naja	narju	naj	orange	$nは橙色を呈する	$x_{1}$ is orange [color adjective].
nazw					
naze					
nazo	nazbi	naz zbi	nose	$nは鼻	$x_{1}$ is the nose [body-part] of $x_{2}$ with nostril(s)/nasal passage(s) $x_{3}$; [metaphor: protrusion].
naza	snada	sad	succeed	$nは成功 (成就) する	$x_{1}$ [agent] succeeds in/achieves/completes/accomplishes $x_{2}$ as a result of effort/attempt/try $x_{3}$.
navw					
nave	navni		neon noble gas		$x_1$ is a quantity of/contains/is made of noble gas of type $x_2$ [helium/neon/argon/krypton/xenon/radon].
navo					
nava	nanba	nab	bread		$x_{1}$ is a quantity of/contains bread [leavened or unleavened] made from grains $x_{2}$.
narw	nalti		NOT statement logical negation		$x_1$ is a logical 'NOT' statement resulting from the (multiplicative) negation of/applying the 'NOT' operator to $x_2$ (du'u); $x_1$ is the logical negation/negative of $x_2$.
nare	naxle	nax xle	canal		$x_{1}$ is a canal/channel to $x_{2}$ from $x_{3}$ with route $x_{4}$.
naro	nanla		boy		$x_{1}$ is a boy/lad [young male person] of age $x_{2}$ immature by standard $x_{3}$.
nara	nalci	na'i	wing		$x_{1}$ is a/the wing [body-part] of $x_{2}$; [metaphor: lateral supporting surface].
mige					
mini	misno	mis mi'o	famous		$x_{1}$ (person/object/event) is famous/renowned/is a celebrity among community of persons $x_{2}$ (mass).
miny	minra	mir	reflect		$x_{1}$ reflects/mirrors/echoes $x_{2}$ [object/radiation] to observer/point $x_{3}$ as $x_{4}$; $x_{2}$ bounces on $x_{1}$.
mine	mintu	mit mi'u	same	$nは$aに等しい (差分=最小)	$x_{1}$ is the same/identical thing as $x_{2}$ by standard $x_{3}$; ($x_{1}$ and $x_{2}$ interchangeable).
mimi	jbini	bin bi'i	between		$x_{1}$ is between/among set of points/bounds/limits $x_{2}$ (set)/amidst mass $x_{2}$ in property $x_{3}$ (ka).
mimy					
mime	cmima	mim cmi	member belong to	$nは 集合 (列擧) $aに屬する	$x_{1}$ is a member/element of set $x_{2}$; $x_{1}$ belongs to group $x_{2}$; $x_{1}$ is amid/among/amongst group $x_{2}$.
mixe	mixre	mix xre	mixture		$x_{1}$ (mass) is a mixture/blend/colloid/commingling with ingredients including $x_{2}$.
mili	mirli		deer	$nは鹿 (鹿科)	$x_{1}$ is a deer/elk/moose/[hart/stag/doe] of species/breed $x_{2}$.
mily					
mile	mikce	mic	doctor		$x_{1}$ doctors/treats/nurses/[cures]/is physician/midwife to $x_{2}$ for ailment $x_{3}$ by treatment/cure $x_{4}$.
mise	milti	mil	.001		$x_{1}$ is a thousandth [1/1000; $10^{-3}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
mifi	mipri	mip	secret		$x_{1}$ keeps $x_{2}$ secret/hidden from $x_{3}$ by method $x_{4}$; $x_{2}$ is a secret; $x_{1}$ hides/conceals $x_{2}$.
mify					
mife	mifra	mif	code		$x_{1}$ is encoded/cipher text of plain-text $x_{2}$ by code/coding system $x_{3}$; $x_{1}$ is in code; $x_{3}$ is a code.
mihe					
miji	minji	mi'i	machine		$x_{1}$ is a machine for use/function $x_{2}$; [automated apparatus, without direct function control].
mijy	mikri	mik	1E-6 micro		$x_{1}$ is a millionth [$10^{-6}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
mije	midju	mij	middle center		$x_{1}$ is in/at the middle/center/midpoint/[is a focus] of $x_{2}$; (adjective:) $x_{1}$ is central.
mize	minde	mid mi'e	command order	$nは$aを命令する (要求する, 推奬する)	$x_{1}$ issues commands/orders to $x_{2}$ for result $x_{3}$ (event/state) to happen; $x_{3}$ is commanded to occur.
mivi					
mivy					
mive					
miri	minli		mile		$x_{1}$ is $x_{2}$ (default 1) long local distance unit(s) [non-metric], $x_{3}$ subunits, standard $x_{4}$.
miry	milxe	mli	mild		$x_{1}$ is mild/non-extreme/gentle/middling/somewhat in property $x_{2}$ (ka); $x_{1}$ is not very $x_{2}$.
mire	misro		Egyptian		$x_{1}$ reflects Egyptian culture/nationality in aspect $x_{2}$.
myni					
mymi					
myli					
myfi					
myji	mrilu	mri	mail post		$x_{1}$ mails/posts [transfer via intermediary service] $x_{2}$ to recipient address $x_{3}$ from mailbox/post office/sender address $x_{4}$ by carrier/network/system $x_{5}$.
myvi					
