token	jbo	en	date	class	description	jbo description
ra	re	two	2024-02-13	numeral	2	digit/number: 2 (digit) [two].
nir	ni	how_many	2024-02-13	numeral	數量疑問. 幾つ	abstractor: quantity/amount abstractor; $x_{1}$ is quantity/amount of [bridi] measured on scale $x_{2}$.
cex	ge'a	null	2026-05-12	numeral	null. 空値	mathematical operator: null mathematical expression (mex) operator (used in >2-ary ops).
dex	de'o	_log	2024-08-24	numeral	對數	binary mathematical operator: logarithm; [log/ln a to base b]; default base 10 or e.
tex	te'a	_exp	2024-08-24	numeral	冪乘	binary mathematical operator: to the power; exponential; [a to the b power].
pix	pi'i	_mul	2024-02-13	numeral	乘算, ×	n-ary mathematical operator: times; multiplication operator; [(((a * b) * c) * ...)].
lix	ci'i	infinite	2024-09-06	numeral	(加算または非可算の) 無限. ∞. ℵ	digit/number: infinity; followed by digits => aleph cardinality.
lan		less_than	2024-08-31	numeral	…未滿. <	
sux	su'i	_add	2024-02-13	numeral	加算. +	n-ary mathematical operator: plus; addition operator; [(((a + b) + c) + ...)].
suf	su'e	at_most	2024-02-13	numeral	最大…. ≤	digit/number: at most (all); no more than.
fex	fe'i	_div	2024-02-13	numeral	除算. /	n-ary mathematical operator: divided by; division operator; [(((a / b) / c) / ...)].
fol		_var	2025-02-27	other	變項選言と本文を區切る	
vex	vei'u	_mod	2024-08-24	numeral	剩餘	binary mekso operator: mod(ulus)/remainder; $X_1$ \% $X_2$, $\,\,\, X_1$ (mod($X_2$)).
vox	vu'u	_sub	2024-02-13	numeral	減算. -	n-ary mathematical operator: minus; subtraction operator; [(((a - b) - c) - ...)].
gemi		mass	2024-08-31	verb	$nの質量は$a	
gono		oblique	2024-12-23	verb	$nは非主格	
goza		sperm	2026-05-13	verb	$nは精子	
gale		simulate	2024-08-27	verb	$nは$aを模倣する (擬裝する)	
gafe		wont	2024-09-01	verb	$nは$aに慣れる (意外性=小)	
nige	sligu	solid	2024-02-13	verb	$nは個體	$x_{1}$ is solid, of composition/material including $x_{2}$, under conditions $x_{3}$.
niny	lindi	thunder	2024-08-19	verb	$nは雷	$x_{1}$ is lightning/electrical arc/thunderbolt striking at/extending to $x_{2}$ from $x_{3}$.
nimy	ninmu	woman	2024-08-19	verb	$nは卵巢	$x_{1}$ is a woman/women; $x_{1}$ is a female humanoid person [not necessarily adult].
nily	nicte	night	2024-08-19	verb	$nは$a (惑星) の夜	$x_{1}$ is a nighttime of day $x_{2}$ at location $x_{3}$; (adjective:) $x_{1}$ is at night/nocturnal.
nivy	cliva	come	2024-08-26	verb	$nは始點 (起源, 由來) $aから來る	$x_{1}$ leaves/goes away/departs/parts/separates from $x_{2}$ via route $x_{3}$.
nive	cribe	bear	2024-02-13	verb	$nは熊 (熊科)	$x_{1}$ is a bear/ursoid of species/breed $x_{2}$.
nwla		want	2024-02-13	verb	$nは$aを求む	
nwja		host	2026-05-13	verb	主人$nは客人$aを持て成す	
nuru	nupre	promise	2024-08-19	verb	$nは$aを約束する	$x_{1}$ (agent) promises/commits/assures/threatens $x_{2}$ (event/state) to $x_{3}$ [beneficiary/victim].
neni	nejni	energy	2024-08-31	verb	$nの能源は$a	$x_{1}$ is energy of type $x_{2}$ in form $x_{3}$.
neli	nelci	like	2026-05-09	verb	$nは$aを好む	$x_{1}$ is fond of/likes/has a taste for $x_{2}$ (object/state).
nesa	cnita	below	2024-02-13	verb	$nは$aより下に有る (重心へ近い)	$x_{1}$ is directly/vertically beneath/below/under/underneath/down from $x_{2}$ in frame of reference $x_{3}$.
nqze		lick	2024-08-19	verb	$nは$aを舐める	
nqve		randy	2024-09-12	verb	$nは$aに欲情する	
nola	rokci	stone	2024-08-19	verb	$nは石 (巖, 鑛物)	$x_{1}$ is a quantity of/is made of/contains rock/stone of type/composition $x_{2}$ from location $x_{3}$.
noru	nobli	noble	2024-10-01	verb	$nは特權を持つ (貴族)	$x_{1}$ is noble/aristocratic/elite/high-born/titled in/under culture/society/standard $x_{2}$.
nana	nakni	man	2024-08-19	verb	$nは精巢	$x_1$ is a male/buck of species $x_2$ evidencing masculine physical/biological/genetic trait(s) $x_3$ (ka); $x_1$ is masculine.
name	natmi	nation	2024-08-24	verb	$nは國家	$x_{1}$ is a nation/ethnic group of peoples $x_{2}$; [people sharing a history/culture].
nala	nanca	year	2024-08-30	verb	$nは$a (惑星) の年 (公轉周期)	$x_{1}$ is $x_{2}$ years in duration (default is 1 year) by standard $x_{3}$; (adjective:) $x_{1}$ is annual.
nasw	srasu	grass	2026-05-13	verb	$nは草本植物	$x_{1}$ is a blade/expanse of grass of species $x_{2}$.
nafe	natfe	deny	2024-08-30	verb	$nは$aを否定 (に矛盾) する	$x_{1}$ (du'u) contradicts/denies/refutes/negates $x_{2}$ (du'u) under rules/logic $x_{3}$.
naja	narju	orange	2024-02-13	verb	$nは橙色を呈する	$x_{1}$ is orange [color adjective].
nazo	nazbi	nose	2024-02-13	verb	$nは鼻	$x_{1}$ is the nose [body-part] of $x_{2}$ with nostril(s)/nasal passage(s) $x_{3}$; [metaphor: protrusion].
naza	snada	success	2026-05-13	verb	$nは成功 (成就) する	$x_{1}$ [agent] succeeds in/achieves/completes/accomplishes $x_{2}$ as a result of effort/attempt/try $x_{3}$.
mine	mintu	same	2024-08-27	verb	$nは$aに等しい (差分=最小)	$x_{1}$ is the same/identical thing as $x_{2}$ by standard $x_{3}$; ($x_{1}$ and $x_{2}$ interchangeable).
mime	cmima	element	2024-08-06	verb	$nは 集合 (列擧) $aに屬する	$x_{1}$ is a member/element of set $x_{2}$; $x_{1}$ belongs to group $x_{2}$; $x_{1}$ is amid/among/amongst group $x_{2}$.
mili	mirli	deer	2024-02-13	verb	$nは鹿 (鹿科)	$x_{1}$ is a deer/elk/moose/[hart/stag/doe] of species/breed $x_{2}$.
mize	minde	command	2024-09-29	verb	$nは$aを命令する (要求する, 推奬する)	$x_{1}$ issues commands/orders to $x_{2}$ for result $x_{3}$ (event/state) to happen; $x_{3}$ is commanded to occur.
mwla		polygon	2026-05-12	verb	$nは多邊形, 多面體	
muno	munje	world	2024-02-13	verb	$nは世界 (宇宙, 時空間)	$x_{1}$ is a universe/cosmos [complete and ordered entirety] of domain/sphere $x_{2}$ defined by rules $x_{3}$.
mumu	mluni	moon	2024-02-13	verb	$nは衞星 (月)	$x_{1}$ is a satellite/moon orbiting $x_{2}$ with characteristics $x_{3}$, orbital parameters $x_{4}$.
muvo	muvdu	move	2024-08-31	verb	$nは動く (速度=有)	$x_{1}$ (object) moves to destination/receiver $x_{2}$ [away] from origin $x_{3}$ over path/route $x_{4}$.
mqre	mlatu	cat	2024-02-13	verb	$nは猫 (猫屬)	$x_{1}$ is a cat/[puss/pussy/kitten] [feline animal] of species/breed $x_{2}$; (adjective:) $x_{1}$ is feline.
monu	moklu	mouth	2024-02-13	verb	$nは口	$x_{1}$ is a/the mouth/oral cavity [body-part] of $x_{2}$; (metaphor: entrance/intake for consumption).
mosu	mokca	point	2024-10-01	verb	$nは點 (位置)	$x_{1}$ is a point/instant/moment [0-dimensional shape/form] in/on/at time/place $x_{2}$.
moso	morsi	die	2024-08-24	verb	$nは死ぬ (生命=最小)	$x_{1}$ is dead/has ceased to be alive.
mano	masno	slow	2024-09-06	verb	$nは遲い (速度=小)	$x_{1}$ is slow/sluggish at doing/being/bringing about $x_{2}$ (event/state).
mamw	manti	ant	2026-05-13	verb	$nは蟻	$x_{1}$ is an ant of species/breed $x_{2}$.
maxe	manku	dark	2024-08-19	verb	$nは暗い (明度=小)	$x_{1}$ is dark/lacking in illumination.
maxa	marxa	chew	2024-08-24	verb	$nは$aを咀嚼する	$x_{1}$ [force] mashes/crushes/squashes/smashes $x_{2}$ into pulp/mash/crumbs/deformed mass $x_{3}$.
mavw	mabru	mammal	2024-02-13	verb	$nは哺乳綱動物	$x_{1}$ is a mammal/'animal'/beast of species $x_{2}$.
cimi	ckini	family	2025-02-08	verb	$nは$aの血族	$x_{1}$ is related to/associated with/akin to $x_{2}$ by relationship $x_{3}$.
cise	ciska	write	2024-06-14	verb	$nはを$a (表現) を書く	$x_{1}$ inscribes/writes $x_{2}$ on display/storage medium $x_{3}$ with writing implement $x_{4}$; $x_{1}$ is a scribe.
civi	gidva	lead	2024-09-01	verb	$nは$aを導く	$x_{1}$ (person/object/event) guides/conducts/pilots/leads $x_{2}$ (active participants) in/at $x_{3}$ (event).
cire	jgira	pride	2024-09-10	verb	$nは$aを誇る (矜恃=+)	$x_{1}$ (person) feels/has pride in/about $x_{2}$ (abstraction).
cuxu	gunka	work	2024-02-13	verb	$nは勞働する	$x_{1}$ [person] labors/works on/at $x_{2}$ [activity] with goal/objective $x_{3}$.
cuzu	gusni	light	2024-02-13	verb	$nは光 (電磁波)	$x_1$ [energy] is light/illumination illuminating $x_2$ from light source $x_3$.
cena	genja	root	2024-09-02	verb	$nは根	$x_{1}$ is a root [body-part] of plant/species $x_{2}$; [metaphor: immobile, supporting, nourishing].
cema	genrkasu	case	2024-10-05	verb	$nは格	
ceji	ckeji	shame	2024-09-10	verb	$nは$aを恥づ (矜恃=-)	$x_{1}$ feels ashamed/mortified/humiliated under conditions $x_{2}$ before community/audience $x_{3}$.
ceri	gletu	fuck	2024-02-13	verb	$nは$aと性交する	$x_{1}$ copulates/mates/has coitus/sexual intercourse with $x_{2}$.
cere	gleki	glad	2024-08-02	verb	$nは$aを喜ぶ	$x_{1}$ is happy/merry/glad/gleeful about $x_{2}$ (event/state).
cera	gerku	dog	2024-02-13	verb	$nは犬 (犬屬)	$x_{1}$ is a dog/canine/[bitch] of species/breed $x_{2}$.
cosu	grasu	fat	2024-09-16	verb	$nは體脂肪	$x_{1}$ is a quantity of/is made of/contains grease/fat/oil from source $x_{2}$.
cora	gutra	womb	2024-09-22	verb	$nは前立腺 (子宮)	$x_{1}$ is a/the womb/uterus [body-part] of $x_{2}$; [metaphor: nourishing, protective, giving birth].
cama	grana	rod	2024-07-28	verb	$nは棒 (杖, 棍)	$x_{1}$ is a rod/pole/staff/stick/cane [shape/form] of material $x_{2}$.
cale	gapci	gas	2024-02-13	verb	$nは氣體	$x_{1}$ is gaseous/fumes/a gas/vapor of material/composition including $x_{2}$, under conditions $x_{3}$.
case	ganse	sense	2024-02-13	verb	$nは$a (刺戟) を感ずる	$x_{1}$ [observer] senses/detects/notices stimulus $x_{2}$ (object/nu) by means $x_{3}$ under conditions $x_{4}$.
cafa	gapru	above	2024-02-13	verb	$nは$aより上に有る (重心へ遠い)	$x_{1}$ is directly/vertically above/upwards-from $x_{2}$ in gravity/frame of reference $x_{3}$.
caja	glare	hot	2024-08-30	verb	$nは熱い (暑い, 温かい) (温度=大)	$x_{1}$ is hot/[warm] by standard $x_{2}$.
diny	dilnu	cloud	2024-08-19	verb	$nは雲	$x_{1}$ is a cloud/mass of clouds of material $x_{2}$ in air mass $x_{3}$ at floor/base elevation $x_{4}$.
dile	dikca	electric	2024-08-31	verb	$nの電荷は$a	$x_{1}$ is electricity [electric charge or current] in/on $x_{2}$ of polarity/quantity $x_{3}$ (def. negative).
dunu	dunda	give	2024-02-13	verb	$nは$aを$dへ與ふ	$x_{1}$ [donor] gives/donates gift/present $x_{2}$ to recipient/beneficiary $x_{3}$ [without payment/exchange].
dumu	dunra	winter	2024-08-30	verb	$nは$a (惑星) の冬 (最も寒い季節)	$x_{1}$ is winter/wintertime [cold season] of year $x_{2}$ at location $x_{3}$.
deni	denci	tooth	2024-02-13	verb	$nは齒牙	$x_{1}$ is a/the tooth [body-part] of $x_{2}$; (adjective:) $x_{1}$ is dental.
denq	didni	reason	2024-08-31	verb	$nは$aを判ずる (推論する, 理性に照らす)	$x_1$ deduces/reasons by deduction/establishes by deduction that $x_2$ is true about $x_3$ from general rule $x_4$
demi	denmi	dense	2024-07-15	verb	$nは高密度 (密度=大)	$x_{1}$ is dense/concentrated/packed/intense in property $x_{2}$ (ka) at location/locus $x_{3}$.
deje	djedi	day	2024-08-19	verb	$nは$a (惑星) の日 (自轉周期)	$x_{1}$ is $x_{2}$ full days in duration (default is 1 day) by standard $x_{3}$; (adjective:) $x_{1}$ is diurnal.
donu	donri	diurnal	2024-08-19	verb	$nは$a (惑星) の晝	$x_{1}$ is the daytime of day $x_{2}$ at location $x_{3}$; (adjective:) $x_{1}$ is diurnal (vs. nocturnal).
dofa		spear	2024-07-28	verb	$nは槍 (鋲, 串)	
dohu	djuno	know	2024-02-13	verb	$nは$a (事象, 存在) を知る	$x_{1}$ knows fact(s) $x_{2}$ (du'u) about subject $x_{3}$ by epistemology $x_{4}$.
doja	djacu	water	2024-02-13	verb	$nは水 (H₂O)	$x_{1}$ is made of/contains/is a quantity/expanse of water; (adjective:) $x_{1}$ is aqueous/[aquatic].
dano	darno	far	2024-08-08	verb	$nは$aから遠い (距離=大)	$x_{1}$ is far/distant from $x_{2}$ in property $x_{3}$ (ka).
dame	damri	drum	2026-05-13	verb	$nは打樂器	$x_{1}$ is a drum/cymbal/gong [percussion musical instrument] with beater/actuator $x_{2}$.
damo	danmo	smoke	2024-09-16	verb	$nは煙 (氣體中の固體または液體の粒子)	$x_{1}$ is made of/contains/is a quantity of smoke/smog/air pollution from source $x_{2}$.
daxe	darxi	hit	2024-11-23	verb	$nは$aを打つ (毆る, 蹴る)	$x_{1}$ hits/strikes/[beats] $x_{2}$ with instrument [or body-part] $x_{3}$ at locus $x_{4}$.
dale	dacti	thing	2024-02-13	verb	$nは物理的存在物 (物體)	$x_{1}$ is a material object enduring in space-time; $x_{1}$ is a thing.
dala	darca	go	2024-08-26	verb	$nは終點 (到達點) $aへ往く	$x_1$ arrives at $x_2$ via route $x_3$
dasw	dansu	dance	2024-02-13	verb	$nは$a (振り付け) を踊る	$x_{1}$ (individual, mass) dances to accompaniment/music/rhythm $x_{2}$.
dafw	dakfu	knife	2024-07-28	verb	$nは刃 (刀, 剣, 庖丁)	$x_{1}$ is a knife (tool) for cutting $x_{2}$, with blade of material $x_{3}$.
dafo	daplu	island	2026-05-12	verb	$nは島	$x_{1}$ is an island/atoll/key of [material/properties] $x_{2}$ in surroundings/body $x_{3}$; $x_{1}$ is insular.
dafa	danfu	answer	2024-07-28	verb	$nはを$aを$dへ答ふ	$x_{1}$ is the answer/response/solution/[reply] to question/problem $x_{2}$.
bimy	bilma	sick	2024-02-13	verb	$nは病む (故障する)	$x_{1}$ is ill/sick/diseased with symptoms $x_{2}$ from disease $x_{3}$.
bife	bifce	bee	2026-05-13	verb	$nは蜂	$x_{1}$ is a bee/wasp/hornet of species/breed $x_{2}$.
bize	bridi	verb	2024-10-05	verb	$nは動詞	$x_{1}$ (du'u) is a predicate relationship with relation $x_{2}$ among arguments (sequence/set) $x_{3}$.
bire	birka	arm	2024-11-24	verb	$nは腕	$x_{1}$ is a/the arm [body-part] of $x_{2}$; [metaphor: branch with strength].
bwma	bradi	foe	2026-05-12	verb	$nは$aの敵	$x_{1}$ is an enemy/opponent/adversary/foe of $x_{2}$ in struggle $x_{3}$.
bwja	blabi	white	2024-02-13	verb	$nは白い (明度=最大)	$x_{1}$ is white/very-light colored [color adjective].
bugu		accusative	2024-12-23	verb	$nは對格	
bumu	bumru	fog	2024-08-19	verb	$nは霧	$x_{1}$ is foggy/misty/covered by a fog/mist/vapor of liquid $x_{2}$.
beli	batci	bite	2024-08-24	verb	$nは$aを嚙む	$x_{1}$ bites/pinches $x_{2}$ on/at specific locus $x_{3}$ with $x_{4}$.
befa	betfu	maw	2024-09-02	verb	$nは胃	$x_{1}$ is a/the abdomen/belly/lower trunk [body-part] of $x_{2}$; [metaphor: midsection].
berq	berti	north	2024-08-24	verb	$nは$aより北 (反時計回りする極點) へ近い	$x_{1}$ is to the north/northern side [right-hand-rule pole] of $x_{2}$ according to frame of reference $x_{3}$.
bqme		nominative	2024-12-23	verb	$nは主格	
bonu	bongu	bone	2024-02-13	verb	$nは骨	$x_{1}$ is a/the bone/ivory [body-part], performing function $x_{2}$ in body of $x_{3}$; [metaphor: calcium].
bono	bloti	ship	2024-10-05	verb	$nは舟	$x_{1}$ is a boat/ship/vessel [vehicle] for carrying $x_{2}$, propelled by $x_{3}$.
bomu	blanu	blue	2024-02-13	verb	$nは青い	$x_{1}$ is blue [color adjective].
boxa	boxna	wave	2024-08-19	verb	$n (媒體) の波は$a (形狀) を成す	$x_{1}$ is a wave [periodic pattern] in medium $x_{2}$, wave-form $x_{3}$, wave-length $x_{4}$, frequency $x_{5}$.
bosu	bratu	sleet	2024-08-19	verb	$nは雹	$x_{1}$ is hail/sleet/freezing rain/solid precipitation of material/composition including $x_{2}$.
banw	bakni	cow	2024-02-13	verb	$nは牛 (牛族)	$x_{1}$ is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed $x_{2}$.
bafw	banfi	amphibia	2024-02-13	verb	$nは兩棲綱に屬する	$x_{1}$ is an amphibian of species/breed $x_{2}$.
bafe	bapli	force	2024-10-01	verb	$nは力	$x_{1}$ [force] (ka) forces/compels event $x_{2}$ to occur; $x_{1}$ determines property $x_{2}$ to manifest.
baja	bajra	run	2024-06-18	verb	$nは$aを走る (驅ける)	$x_{1}$ runs on surface $x_{2}$ using limbs $x_{3}$ with gait $x_{4}$.
bazw	barda	big	2024-02-13	verb	$nは大きい	$x_{1}$ is big/large in property/dimension(s) $x_{2}$ (ka) as compared with standard/norm $x_{3}$.
bazo	badri	sad	2024-09-10	verb	$nは$aを悲しむ	$x_{1}$ is sad/depressed/dejected/[unhappy/feels sorrow/grief] about $x_{2}$ (abstraction).
bavw	balvi	after	2024-02-13	verb	$nは$aの未來に有る (時間方向で大きい)	$x_{1}$ is in the future of/later than/after $x_{2}$ in time sequence; $x_{1}$ is latter; $x_{2}$ is former.
kini	kinli	sharp	2024-07-28	verb	$nは鋭い (曲線=大)	$x_{1}$ is sharp/keen at locus $x_{2}$.
kimi	cmila	laugh	2024-02-13	verb	$nは笑ふ	$x_{1}$ laughs (emotional expression).
kixe	krixa	yell	2024-06-14	verb	$nは$a (聲) を叫ぶ (鳴く)	$x_{1}$ cries out/yells/howls sound $x_{2}$; $x_{1}$ is a crier.
kihe	ckire	thank	2024-02-13	verb	$nは$aに感謝する	$x_{1}$ is grateful/thankful to/appreciative of $x_{2}$ for $x_{3}$ (event/property).
kwna	katna	cut	2024-11-21	verb	$nは$aを切る (斷つ)	$x_{1}$ (tool/blade/force) cuts [through]/splits/divides $x_{2}$ (object) into pieces $x_{3}$.
kugu	kukru	perpendicular	2026-05-12	verb	$nは$aに對して垂直	$x_1$ is orthogonal/perpendicular/right/at right angle/rectified/square/normal to $x_2$, where they (are projected to) intersect orthogonally at locus/on set $x_3$, otherwise being utterly distinct (and not even on the same axis/scale) in sense $x_4$
kugo	kruvi	curve	2026-05-12	verb	$nは曲線 (曲面) (曲率=有)	$x_{1}$ is a curve/turn/bend in $x_{2}$, at locus $x_{3}$, and defined by set of points/properties $x_{4}$.
kumo	kunti	empty	2024-08-02	verb	$nは$aを缺く (密度=最小)	$x_{1}$ [container] is empty/vacant of $x_{2}$ [material]; $x_{1}$ is hollow.
kusu	kuspe	interval	2024-10-01	verb	$nは區間 (容積, 領域)	$x_{1}$ ranges/extends/spans/persists/reaches across/over interval/gap/area/scope/extent/range $x_{2}$.
kele	kecti	pity	2024-09-10	verb	$nは$aを憐れむ (に同情する)	$x_{1}$ (person) pities/feels sorry for $x_{2}$ (person) about $x_{3}$ (abstraction).
kere	kerlo	ear	2024-02-13	verb	$nは耳	$x_{1}$ is a/the ear [body-part] of $x_{2}$; [metaphor: sensory apparatus, information gathering].
kera	kerfa	hair	2024-02-13	verb	$nは毛	$x_{1}$ is a/the hair/fur [body-part] of $x_{2}$ at body location $x_{3}$.
kqge		pick	2024-09-09	verb	$nは$aを拾ふ (狩る, 収穫する)	
koxu	klaku	weep	2024-02-13	verb	$nは$a (涙) を泣く	$x_{1}$ weeps/cries tears $x_{2}$ about/for reason $x_{3}$ (event/state).
kofa		scorn	2024-09-10	verb	$nは$aを侮る (軽蔑する, 見くびる)	
kovo	korvo	crow	2024-07-15	verb	$nは烏 (烏科)	$s_1$ is a crow/raven of species $s_2$.
kana	kanla	eye	2024-02-13	verb	$nは目	$x_{1}$ is a/the eye [body-part] of $x_{2}$; [metaphor: sensory apparatus]; (adjective:) $x_{1}$ is ocular.
kamw	karbi	compare	2024-07-26	verb	$nは$aを比較する	$x_{1}$ [observer] compares $x_{2}$ with $x_{3}$ in property $x_{4}$ (ka), determining comparison $x_{5}$ (state).
kale	karce	car	2026-05-13	verb	$nは車	$x_{1}$ is a car/automobile/truck/van [a wheeled motor vehicle] for carrying $x_{2}$, propelled by $x_{3}$
kase	kalci	shit	2024-06-14	verb	$nは$a (糞尿) を排泄する	$x_{1}$ is a/the feces/excrement/dung/shit of $x_{2}$ (animal/person); (adjective:) $x_{1}$ is fecal (matter).
kafw	kanpe	expect	2024-09-10	verb	$nは$aを豫期する (意外性=小)	$x_1$ expects/looks for the occurence of $x_2$ (event), expected likelihood $x_3$ (0-1, default {li} {so'a} i.e. near 1); $x_1$ subjectively evaluates the likelihood of $x_2$ (event) to be $x_3$.
kaha	krali	right	2026-05-12	verb	$nは權利$aを持つ	$x_1$ (NU) is a legal/moral entitlement of $x_2$ (individual/mass) by standard $x_3$. $x_2$ is a legal person.
kava	kanba	goat	2024-02-13	verb	$nは山羊 (山羊屬)	$x_{1}$ is a goat/angora/[billy-goat/kid] of species/breed $x_{2}$.
karo	kanro	healthy	2024-08-24	verb	$nは健康	$x_{1}$ is healthy/fit/well/in good health by standard $x_{2}$.
tini	tinri	bore	2024-09-10	verb	$nは$aに飽きる (意外性=-)	$x_1$ (abstraction) bores $x_2$ in manner $x_3$; $x_2$ is bored by/experiences boredom about $x_1$, the boredom being of type/form $x_3$.
time	snime	snow	2024-08-19	verb	$nは雪	$x_{1}$ is made of/contains/is a quantity/expanse of snow.
tihe	trixe	hind	2024-02-13	verb	$nは$aの後 (進行方向の逆) に有る	$x_{1}$ is posterior/behind/back/in the rear of $x_{2}$ which faces/in-frame-of-reference $x_{3}$.
tije	tilju	heavy	2024-07-14	verb	$nは重い (質量=大)	$x_{1}$ is heavy/weighty in mass/weight by standard $x_{2}$.
tiri	tirna	hear	2024-02-13	verb	$nは$a (音) を聞く	$x_{1}$ hears $x_{2}$ against background/noise $x_{3}$; $x_{2}$ is audible; (adjective:) $x_{1}$ is aural.
twna	snanu	south	2025-03-01	verb	$nは$aよりの南 (時計回りする極點) へ近い	$x_{1}$ is to the south/southern side of $x_{2}$ according to frame of reference $x_{3}$.
twsa	tsani	sky	2024-08-19	verb	$nは空 (大氣)	$x_{1}$ is an expanse of sky/the heavens at place $x_{2}$; [celestial].
tunu	tunta	stab	2024-11-24	verb	$nは$aを刺す	$x_{1}$ (object, usually pointed) pokes/jabs/stabs/prods $x_{2}$ (experiencer).
tumo	tunba	sibling	2025-02-08	verb	$nは$aの同胞 (と親を共有する)	$x_{1}$ is a sibling of $x_{2}$ by bond/tie/standard/parent(s) $x_{3}$.
tufo	tuple	leg	2024-11-24	verb	$nは肢 (腕, 脚)	$x_{1}$ is a/the leg [body-part] of $x_{2}$; [metaphor: supporting branch].
tuhu	truni	govern	2024-07-28	verb	$nは$aを統治する (支配する)	
temi	temci	time	2024-02-13	verb	$nは1次元物理的時間	$x_{1}$ is the time-duration/interval/period/[elapsed time] from time/event $x_{2}$ to time/event $x_{3}$.
teje	tcidu	read	2024-06-14	verb	$nはを$a (表現) を讀む	$x_{1}$ [agent] reads $x_{2}$ [text] from surface/document/reading material $x_{3}$; $x_{1}$ is a reader.
